image_id,caption,fluency,diversity
imgflip_426,the teacher to unblock gaming websites; black,0.21554458,0.54556155
imgflip_650,teachers who let students play with their chromebooks after they are done,0.94252425,0.54556155
imgflip_544,when you step on a lego in the middle of the night,0.9611119,0.54556155
imgflip_482,who r we? upvote beggars! what do we want? upvotes! why do we want it? untrue feelings of self accomplishment!,0.8016689,0.54556155
imgflip_460,hey know what? what? these images are from different movies.,0.95445484,0.54556155
imgflip_615,when you wake up it will be monday,0.9687761,0.54556155
imgflip_1009,i did the math; we cannot afford the dog,0.9572939,0.54556155
imgflip_591,"how are you? system.out.println(""how are you?"");; 01001000 01101111 01110111 00100000 01100001 01110010 01100101 00100000 01111001 01101111 01110101 00111111",0.9067776,0.54556155
imgflip_1006,ferrari losing the 2022 season,0.85006034,0.54556155
imgflip_1781,back in the 80's i was the voice of milli vanilli,0.9136535,0.54556155
imgflip_712,the lego on the floor when you walk barefooted:,0.71901566,0.54556155
imgflip_722,"everything is made up of molecules and molecules are round,so even the corner of a square isnt sharp,its just round.thus nothing is a square.",0.8079755,0.54556155
imgflip_1026,history teachers that talk about ‘the 3 golden rules’ for a whole lesson and then repeats for 3 lessons?,0.48293433,0.54556155
imgflip_275,fastest crypto with lowest fees; assquad token; ethereum; answer a &amp; c; assq token,0.77485824,0.54556155
imgflip_541,when you post something on facebook; and nobody replies to your post,0.92661697,0.54556155
imgflip_357,anikin the last jedi is your son; and grand daughter,0.53005505,0.54556155
imgflip_827,"dammit, i knew i should not have filled up with coffee; before hibernation season",0.9509509,0.54556155
imgflip_690,teacher: why are you laughing? my brain:,0.88559556,0.54556155
imgflip_788,what you in for; i dated a karen,0.73759985,0.54556155
imgflip_353,cereal first; milk first; bowl first,0.90879905,0.54556155
imgflip_229,me running from the librarian; after putting the womens rights in the fiction section,0.6087191,0.54556155
imgflip_776,the other surgeons:; *licks knife after using it*,0.5779723,0.54556155
imgflip_771,people do the milk then the cereal; people who put the cereal then the milk; people who put the bowl first,0.4820354,0.54556155
imgflip_1031,vegan activist when they see you eat met; wouldn't that make you; a animal abuser,0.57087255,0.54556155
imgflip_224,upvote if you ignore down vote beggars; then you are a true gigachad,0.54798704,0.54556155
imgflip_402,the look when you want to reach through the phone to smack somebody,0.9166563,0.54556155
imgflip_748,how can someone say eggs are a dairy food? honestly?,0.95748353,0.54556155
imgflip_356,someone: our sun is the biggest star in the whole universe!!! uy scuti,0.71913975,0.54556155
imgflip_531,we all saved the grape fruit snacks for last as kids,0.47995168,0.54556155
imgflip_1388,knowing that you have been in a coma for a long time; minecraft vertical slabs are available; gta 6 in the store; everybody knows who killed jfk; geometry dash 2.2 update is out,0.76430875,0.54556155
imgflip_161,me: i'm hungry; my mother: maybe if you got off your phone you wouldn't be; me:; what,0.46027339,0.54556155
imgflip_573,i didn't want to date grumpy cat; luckily she said  no2,0.9330132,0.54556155
imgflip_379,"cashier: this coupon is expired

karens:",0.7407392,0.54556155
imgflip_807,"got all the food i need from the grocery store, now i just need to put them in my own bags that i have in the trunk! wait, did i just put my own keys in the trunk just now?!?",0.5931469,0.54556155
imgflip_390,disney film; disney film if the main character doesn't give mercy to the villain,0.7123356,0.54556155
imgflip_740,aang's arrow isn't blue; the avatar movie isn't that bad; avatar aang was pronounced wrong; the special effects are awful; it brainwashed everyone; sokka wasn't funny; the fights were horrible,0.7916716,0.54556155
imgflip_714,i start in china; i cause a global pandemic; the humans made two vaccines; the humans made two vaccines,0.9563315,0.54556155
imgflip_920,when you name your dog 8 miles so you can say you walked 8 miles,0.8109688,0.54556155
imgflip_824,nobody:; over protective parents:; snap map,0.6879149,0.54556155
imgflip_659,when the teacher tells you to take of your hoodie,0.8894705,0.54556155
imgflip_912,minecraft players who make their mineshafts two blocks wide; minecraft players who make their mineshafts one block wide; minecraft players who make their mineshafts three blocks wide,0.9435438,0.54556155
imgflip_270,me when my crush walks up to me,0.94236106,0.54556155
imgflip_1309,"your wife/girlfriend; when she tells you that the both of you will only be shopping ""for a little while""",0.91115415,0.54556155
imgflip_637,siren head; siren tree 🌲; me: ok,0.65434307,0.54556155
imgflip_864,albatross; albatross; fathom and indigo; *enchants spear*; come here fathom i will kill u,0.57131034,0.54556155
imgflip_362,if fossil fuels are made from decomposing animals; then vegans cant drive,0.6691709,0.54556155
imgflip_1294,"they say you can become anything you hate
me: i hate god",0.75911707,0.54556155
imgflip_624,you here me?!?!? *speaks asian bad words*,0.36373457,0.54556155
imgflip_872,you thinking that your crush will say no to a date; she says yes and she likes you back; she says on the date that she wants to be together with you forever; her dad says don't you dare touch her,0.8838317,0.54556155
imgflip_829,i wish i can talk about the drill,0.97734183,0.54556155
imgflip_198,you’re a caveman; you discover fire; you drop your food in it; it tastes better that way,0.950475,0.54556155
imgflip_1133,i wore this dress last week; we need to go shopping; amateur; i've had this shirt for 13 years,0.86279154,0.54556155
imgflip_221,"uwu; stupid; ""sister! i need you!""",0.86403275,0.54556155
imgflip_602,times anakin followed his orders?,0.86244595,0.54556155
imgflip_1313,"your mom ""borrowing"" your phone",0.8426672,0.54556155
imgflip_523,"snooze the alarm for 9 minutes. ""what year is it?""",0.80728436,0.54556155
