image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1957,"and you know, i don't like this because we ’ re just not in the room.",1,1,0.91221076,0.4444439,0.042955579924435765,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
sonicdrivein_1666,the's the meat we love.,0,1,0.30414984,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1633,a huge and happy thanksgiving! '' i will be in the parking lot for a while.,5,1,0.9506298,0.4444439,0.012446767091965986,1.10779904317048e-309,1.10779904317048e-309,1.10779904317048e-309
sonicdrivein_272,my first food emoji.,0,1,0.90489954,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1766,what's your name? we know it’ s a thing.,2,1,0.70584685,0.4444439,0.058577141803494825,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309
sonicdrivein_2143,in the end of our food truck line up is coming out! we’ ll be serving 3-course vegan special at all times now.,2,1,0.18101254,0.4444439,0.08695652173913045,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1870,"20 days later and still no, we’ re here with our new design for the ultimate iphone keyboard.",2,1,0.8329585,0.4444439,0.09405352498784599,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308
sonicdrivein_2132,"you’ re the one that makes you happy, but who ‘s gonna be in your mouth? it is so delicious!🍦#moocons🎉🥤 🥑🤗 🤔💕😊 👍
Q: what do they call a dinosaur with two heads and four legs? A.",2,1,0.9203648,0.4444439,0.054054054054054064,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_987,"i was on a fish-and burger quest with the best,.",2,1,0.8477771,0.4444439,0.016416999724779762,1.826451846136416e-309,1.826451846136416e-309,1.826451846136416e-309
sonicdrivein_1609,i can’ t believe you are still on the menu at this point in time.,4,1,0.9717729,0.4444439,0.021171715273887524,1.76657363233823e-309,1.76657363233823e-309,1.76657363233823e-309
sonicdrivein_1139,"you’ re probably wondering if this is a full-size phone, but we can tell you.",3,1,0.96506727,0.4444439,0.2,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_342,"yes, there’ s more than one type of “ sweet tooth! and you don' t know it.",0,1,0.9218973,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1624,we're all for a different theme night this halloween.,1,1,0.96643114,0.4444439,0.003963777038583601,7.93772700255334e-310,7.93772700255334e-310,7.93772700255334e-310
sonicdrivein_545,a woman with a beer can.,0,1,0.9232251,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1414,i love this.,0,1,0.9783351,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_555,"if you’ re going to have a good time, i'm gonna call it up! don’ t let me scare ya.",0,1,0.9720677,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1745,# v2019.,0,1,0.82608724,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_2179,i'm so sure you like it.,0,1,0.9722662,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1495,posted in the first day - we have a new style of office space that’ s all about coffee.,1,1,0.9307492,0.4444439,0.04494419292755447,1.9000788267213607e-308,1.9000788267213607e-308,1.9000788267213607e-308
sonicdrivein_2126,"a ton of candy! a huge bag, all day long.",3,1,0.8687076,0.4444439,0.12197089792217974,9.04647521551e-309,9.04647521551e-309,9.04647521551e-309
sonicdrivein_1116,"the last time i was there, we had a great birthday party with 20 friends.",0,1,0.95134044,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1054,p.,0,1,0.7953543,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_2202,"what is the price of this special? can you tell me about it, so i’ ll make sure to have a little bit more in stock for those who are still on their order.",2,1,0.9425453,0.4444439,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2072,"i got my new puppy today, and i was told to take a 30-minute nap before the show.",3,1,0.9784929,0.4444439,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_337,it's like this.,0,1,0.9746406,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_2189,the first time you’ ll get to know what we're all about.,0,1,0.97235006,0.4444439,0.0,0.0,0.0,0.0
sonicdrivein_1778,this week we’ ll be sharing the ‘ food and drink culture in japan with our own special take on it.,3,1,0.9646645,0.4444439,0.12383969996431167,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308
