image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
bokete_54949,the girl who rejected me because i've been on the job for a long time.,3,1,0.9705749,0.35150257,0.13406400920712788,0.04788000328825994,1.491511611267286e-308,1.491511611267286e-308
imgflip_692,"you said you 'd do this, but i already have the dream of mr.",1,1,0.91445786,0.35150257,0.057651267643242084,1.7958965995989704e-308,1.7958965995989704e-308,1.7958965995989704e-308
bokete_87919,"if you're going to cook it, i cann't do that.",0,1,0.96408236,0.35150257,0.0,0.0,0.0,0.0
bokete_12314,"i'm sorry, but i can't hand me that pen at school because you got it on the way! get out of my face now.",2,1,0.9565727,0.35150257,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_31174,"i'm not going to let you die for a moment, but i know that the death machine isn't gonna end up killing me.",1,1,0.97250855,0.35150257,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_43777,"i'm going to ask you a lot of money, but i can't afford it.",1,1,0.9541042,0.35150257,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_43875,i'm going to use this tool now and it ’s not that dangerous.,2,1,0.9640937,0.35150257,0.08979161202208832,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308
bokete_81128,"when i said that my brother was too far away, but if you say `` let me throw it in front of us! '' then he would be a winner.",2,1,0.8925932,0.35150257,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_64,i'm going to do it.,0,1,0.97183806,0.35150257,0.0,0.0,0.0,0.0
bokete_104457,"when you say, `` i cann't do it alone; there is a person on the right of me who does all this work.",1,1,0.9433568,0.35150257,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_107366,"the first time i'm running out of space, the only thing that happens is take a bite off my nose in order to run faster.",3,1,0.97281724,0.35150257,0.12000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_100382,"`` i'm sorry, sir.",0,1,0.96345663,0.35150257,0.0,0.0,0.0,0.0
bokete_18414,"`` i'm going to throw it back, oh my god! the old man is so good at throwing a cold.",0,1,0.9734249,0.35150257,0.0,0.0,0.0,0.0
imgflip_1287,i'm not going to do anything about this except for a few minutes but i did n’t feel like an in anyway! and then im got back my guitar.,0,1,0.64452976,0.35150257,0.0,0.0,0.0,0.0
bokete_40120,"`` i'm not going to make an offer, so please don't mark it with a spoon.",0,1,0.9675895,0.35150257,0.0,0.0,0.0,0.0
bokete_13455,"`` i'm going to tell you how terrible it was when we went through school, but for a few minutes they were laughing at me because my face is so white.",1,1,0.9702589,0.35150257,0.018049588977801227,1.2450117263304963e-308,1.2450117263304963e-308,1.2450117263304963e-308
bokete_16162,"i'm trying to be a little bit more interesting than i am now, and it s still so funny that I can fall into my face.",3,1,0.9295222,0.35150257,0.1153846153846154,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_97824,"`` so i'm going to hit you with a sword, but it won't be serious! get up and sing again.",0,1,0.96787405,0.35150257,0.0,0.0,0.0,0.0
bokete_94659,"i didn't tell you that i was pregnant, but he said </s> her life will be destroyed if she drinks this water.",0,1,0.9553911,0.35150257,0.0,0.0,0.0,0.0
imgflip_1237,when you order something on the internet but don't look at it.,4,1,0.9311649,0.35150257,0.17113903967753066,0.04667428354841745,1.142391010069532e-308,1.142391010069532e-308
bokete_31458,it's the worst.,0,1,0.968473,0.35150257,0.0,0.0,0.0,0.0
bokete_8694,"you're going to be so good at this, but i just have a little bit of fun with your friends and make them happy.",2,1,0.97564924,0.35150257,0.052694721848854154,1.406995776806362e-308,1.406995776806362e-308,1.406995776806362e-308
imgflip_92,"and i said, `` what do you want to give me for free? the sky is my retirement home.",3,1,0.96162945,0.35150257,0.071697430079132,0.025226873546361255,1.0103698234777832e-308,1.0103698234777832e-308
bokete_107796,"when i was in the room, my sister told me to look at a ray of light and it's going off.",2,1,0.89629203,0.35150257,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_42650,"i'm going to tell you, i don't need this much.",1,1,0.96033216,0.35150257,0.04965853037914096,1.104938977985153e-308,1.104938977985153e-308,1.104938977985153e-308
imgflip_262,i'm not sure if i can get it out of my mind.,4,1,0.96245635,0.35150257,0.1332832181149491,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309
bokete_93212,that's it.,0,1,0.9551257,0.35150257,0.0,0.0,0.0,0.0
bokete_93504,"i don't know what to say, but i.",0,1,0.53864384,0.35150257,0.0,0.0,0.0,0.0
bokete_38734,"i'm trying to get him out of the book, so i.",1,1,0.65707237,0.35150257,0.052688934434982675,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308
bokete_29503,"there's a toy in the car that he was riding, but i managed to get it back into control.",0,1,0.96195686,0.35150257,0.0,0.0,0.0,0.0
bokete_104282,"but i can't believe me, when you say that.",1,1,0.934488,0.35150257,0.04567914338968749,9.14755210518586e-309,9.14755210518586e-309,9.14755210518586e-309
bokete_50932,"`` well, i'm going to tell you that my name is written on it.",2,1,0.96759295,0.35150257,0.09306272250443651,1.4495000173229606e-308,1.4495000173229606e-308,1.4495000173229606e-308
bokete_93507,"it's a good deal for me, but if you go too far in the woods it ca n be hurt.",0,1,0.8789881,0.35150257,0.0,0.0,0.0,0.0
bokete_50682,"you have to put it on your head, you're not going to be a team like this.",3,1,0.9659572,0.35150257,0.08214190835718736,1.035706940183035e-308,1.035706940183035e-308,1.035706940183035e-308
bokete_32859,"i said, `` oh no i didn't do it! i have to go and dry up my hand before he can take care of me.",3,1,0.94628495,0.35150257,0.12000000000000001,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308
bokete_44302,"he said, `` i won't do it.",0,1,0.9583846,0.35150257,0.0,0.0,0.0,0.0
bokete_32460,i've been telling you for a long time.,0,1,0.9630454,0.35150257,0.0,0.0,0.0,0.0
bokete_105450,"i'm sorry, i told you not to do that.",2,1,0.95769864,0.35150257,0.17794164509262397,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308
bokete_108812,"it's a little thing that i have to do it around the house and get back home? oh, you got me right there on your face.",1,1,0.4164766,0.35150257,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_96576,"he says, `` in't say anything.",0,1,0.6646199,0.35150257,0.0,0.0,0.0,0.0
bokete_36085,"`` oh, i'm having a good time.",0,1,0.97555065,0.35150257,0.0,0.0,0.0,0.0
imgflip_160,"`` hey, i'm sorry.",0,1,0.95845574,0.35150257,0.0,0.0,0.0,0.0
imgflip_379,i don't know if i.,1,1,0.4107525,0.35150257,0.03305977764431731,3.678022350221663e-309,3.678022350221663e-309,3.678022350221663e-309
bokete_13608,"`` i'm going to hit you in the back right now, but if we don't start soon it will be too high.",0,1,0.9676375,0.35150257,0.0,0.0,0.0,0.0
bokete_58536,"this guy said he's going to do a hike, but when i looked at him was if it were really funny.",2,1,0.21457177,0.35150257,0.0865863278930203,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308
bokete_18781,"and i'm like, oh my god! this is a good fish.",1,1,0.9494296,0.35150257,0.021227861735537576,5.19569162417264e-309,5.19569162417264e-309,5.19569162417264e-309
bokete_45473,you think you're a good man.,1,1,0.9814387,0.35150257,0.02664662434661565,3.55744243506706e-309,3.55744243506706e-309,3.55744243506706e-309
bokete_110402,`` i'm going to tell you how hard it feels when someone falls back on ice! '' and then he started up again.,0,1,0.9496778,0.35150257,0.0,0.0,0.0,0.0
bokete_74230,i'm going to show you how i can do this.,0,1,0.967979,0.35150257,0.0,0.0,0.0,0.0
bokete_40501,`` that's a dog.,0,1,0.9527626,0.35150257,0.0,0.0,0.0,0.0
bokete_39715,"i'm sorry, i don't understand this.",1,1,0.97438204,0.35150257,1.7410690638617555e-05,2.32440435591e-312,2.32440435591e-312,2.32440435591e-312
imgflip_84,i'm just out of it.,0,1,0.9678963,0.35150257,0.0,0.0,0.0,0.0
imgflip_1023,"i was sleeping in the street, and i'm playing with a car.",2,1,0.98050344,0.35150257,0.10108844328543891,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
bokete_103321,"it's my first day at school, i got a ton of funny things on her back and now she is going to be very angry! but if you don't worry me? what are your problems?! '' `` no more than that.",4,1,0.92680883,0.35150257,0.0975609756097561,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_9934,"`` i'm sorry, but you have no hair on your face.",0,1,0.960948,0.35150257,0.0,0.0,0.0,0.0
bokete_19519,that's just a little bit of fun.,0,1,0.96862954,0.35150257,0.0,0.0,0.0,0.0
bokete_96735,"it's a very bad effect, and i don't want you to look at it in your eyes.",0,1,0.9690698,0.35150257,0.0,0.0,0.0,0.0
bokete_19985,"i'm sorry, i don't know how to use it.",0,1,0.95964116,0.35150257,0.0,0.0,0.0,0.0
bokete_94502,"`` oh, i'm going to sit down and play with my eyes.",2,1,0.98037887,0.35150257,0.08556951983876535,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308
bokete_96399,"' `` well, what are you doing? i won't mess with me again! '' it was a good joke this time.",4,1,0.9655276,0.35150257,0.19047619047619047,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308
bokete_23326,"i wasn't sure whether or not i would be a victim of this game, but we ’ re going to play together.",3,1,0.9777985,0.35150257,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_50602,`` don't you know? i.,0,1,0.7572057,0.35150257,0.0,0.0,0.0,0.0
imgflip_912,"i'm telling my boss at work, so i just stand up and say; `` what the heck is going on?'' think man! look me in the eye.",2,1,0.97106576,0.35150257,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_11569,"it's a pair of glasses that fall out, and i was so angry with the voice.",4,1,0.8939299,0.35150257,0.15163266492815836,0.04043537731417556,1.3495755153097447e-308,1.3495755153097447e-308
bokete_30003,"i'm not sure if i can't get up to the restaurant and that is me when it says, oh my god! what do you think about being there in just a second
Q: how does an old woman respond? A.",5,1,0.6974169,0.35150257,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_14445,the guy who doesn't do it.,2,1,0.93999463,0.35150257,0.008520511068835796,5.68762993211647e-310,5.68762993211647e-310,5.68762993211647e-310
bokete_28098,he's got a new tool.,0,1,0.98400766,0.35150257,0.0,0.0,0.0,0.0
bokete_11580,"the man said, `` i won't do anything about it.",0,1,0.9709037,0.35150257,0.0,0.0,0.0,0.0
bokete_21145,"i'm going to tell you that i do n’t have a shot in my mouth, and it might hit me again next time.",3,1,0.96290624,0.35150257,0.13043478260869565,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_99403,i'm going to tell my story.,3,1,0.97890943,0.35150257,0.024893534183931972,0.01991482734714558,0.012446767091965986,1.10779904317048e-309
imgflip_386,"it's like, oh my god! i was in his head and he said, `` you don't have a heart.",2,1,0.9509732,0.35150257,0.08988838585510894,1.9000788267213607e-308,1.9000788267213607e-308,1.9000788267213607e-308
bokete_52292,i'm going to take a bite out of my face and i could be an free with this man who was looking for me.,5,1,0.6911411,0.35150257,0.20833333333333334,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308
bokete_52027,i'm going to go and get it down.,4,1,0.9728688,0.35150257,0.06766764161830635,0.03866722378188934,0.02255588053943545,3.01131000863463e-309
bokete_57046,"`` oh, i'm going to put a mug on my leg and make it look like the indenture! don't you take care of me? '' </s>.",0,1,0.8312378,0.35150257,0.0,0.0,0.0,0.0
bokete_29289,"i'm going to be in the phone center, and i can't touch it.",2,1,0.94688195,0.35150257,0.13190829525545253,1.9077870467055724e-308,1.9077870467055724e-308,1.9077870467055724e-308
bokete_15349,"i'm not sure if i was going to catch him, but you said he is a good search! and then they came out of the house.",2,1,0.92470485,0.35150257,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_79024,"i'm sure it was a little different, but i didn't know how to get down so close by now.",3,1,0.898031,0.35150257,0.15789473684210523,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
