,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
61,sonicdrivein_135,it 's been a long time since we 've been a party.,0,1,0.97207606,0.41160554,0.0,0.0,0.0,0.0
65,sonicdrivein_1866,the trick or treat you’ ve been dreaming about for a long time 🤷🍪# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 �,1,1,0.8031571,0.41160554,0.0416666666666666,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
78,sonicdrivein_788,i’ m going to tell you what i’ m going to do:.( i’ m going to tell you what i’ m going to do:.( i’ m going to tell you what i’ m going to do:.( i’ m going to tell you what i’ m,4,1,0.93430907,0.41160554,0.0222222222222222,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
119,sonicdrivein_2112,is this what we mean when we say we’ ve got a great deal? 🤔# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ kimchiwagshop# march5 📷:,2,1,0.86424077,0.41160554,0.04,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
123,sonicdrivein_80,the trick or treat you’ ve been waiting for is a treat.,0,1,0.9754048,0.41160554,0.0,0.0,0.0,0.0
124,sonicdrivein_690,"the drive-in is a drive-in, so i got to drive in the drive-in </s># getawaywithit# somethingscookin# march5 📷:@ kimchi.",0,1,0.8350385,0.41160554,0.0,0.0,0.0,0.0
129,sonicdrivein_196,the trick or treat you’ re going to want when you buy a pack of mozz sticks 😍# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ kimchiwagshop# march5 �,2,1,0.76641715,0.41160554,0.0714285714285714,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
138,sonicdrivein_2208,"no matter how many times we 're at the office, we always end up with the same result.",3,1,0.97350127,0.41160554,0.111111111111111,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
147,sonicdrivein_2052,a dance that will tell the rest of us what we 're going to do.,0,1,0.9734215,0.41160554,0.0,0.0,0.0,0.0
181,sonicdrivein_2080,this is what you get when you eat one of the many faves available on the app for a limited time.,2,1,0.9782245,0.41160554,0.0952380952380952,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308
212,sonicdrivein_234,"the drive-in is always the drive-in, and the vibe is always the drive-in </s> </s> </s># driveinnow# march5 📷:@ tahrithebengal# march5 📷:@ tahrithebengal# march5 �",0,1,0.8965392,0.41160554,0.0,0.0,0.0,0.0
233,sonicdrivein_2218,"we know what you’ re thinking, and we know what you’ re thinking, and we know what you’ re thinking, and we know what you’ re thinking, and we know what you’ re thinking, and we know what you’ re thinking, and we know what you’ re",0,1,0.95028394,0.41160554,0.0,0.0,0.0,0.0
240,sonicdrivein_1809,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",0,1,0.8792573,0.41160554,0.0,0.0,0.0,0.0
260,sonicdrivein_952,we’ ve got a new thing coming.,0,1,0.97912496,0.41160554,0.0,0.0,0.0,0.0
315,sonicdrivein_2091,`` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's new this year? '' `` what 's,0,1,0.9574101,0.41160554,0.0,0.0,0.0,0.0
338,sonicdrivein_404,we’ ve got a new deal: we’ ve got a new deal.,0,1,0.9778154,0.41160554,0.0,0.0,0.0,0.0
383,sonicdrivein_2078,i 've got a new friend who 's ready to take the leap of life 🤷‍♀️🎃️🍃️🍃️‍♀️🍃️‍♀️🍃️‍♀️🍃️‍�,2,1,0.9751168,0.41160554,0.10362863977255,1.844651018804537e-308,1.844651018804537e-308,1.844651018804537e-308
392,sonicdrivein_414,the trick or treat you’ ve been waiting for is a treat 💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅🏼‍♀️💅🏼‍�,0,1,0.9623717,0.41160554,0.0,0.0,0.0,0.0
428,sonicdrivein_1376,the trick or treat you’ ve been waiting for is a treat.,0,1,0.9754048,0.41160554,0.0,0.0,0.0,0.0
444,sonicdrivein_1452,this one’ s for you# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal# march5 📷:@ micholas.,1,1,0.59591556,0.41160554,0.0448958060110441,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308
