image_id,caption,humor_score,humor
sonicdrivein_2052,"if you had to choose between an, with a friend or me i would pick the first.",0.4068186283111572,0
sonicdrivein_532,"in the summer, i got my dogs'dog-friendly meals for a whole week! this was n’t just another delivery.",0.029951170086860657,0
sonicdrivein_478,the new dog flavor we had in 2018 is the most lovable.,0.24727113544940948,0
sonicdrivein_1471,@ jackhannemanning the year 2018.,0.4479387402534485,0
sonicdrivein_1996,"if you are going to make a prom dance, i'm sure it would be fun if we all go together.",0.29402294754981995,0
sonicdrivein_877,"for those of you who don’ t have the money to buy a new set, there are plenty options for that.",0.0831739604473114,0
sonicdrivein_2181,"a a in with ice cream, but it’ s just not the thing to do.",0.17492760717868805,0
sonicdrivein_311,and i'm not talking about that.,0.6159740686416626,1
sonicdrivein_2095,i'm gonna go to the movies with my mom.,0.8290535807609558,1
sonicdrivein_491,"the last one was sent in a little while! </s> so, what are you wearing? 👍️🤔😂 🤣💕👋📷✏🏻#notjustacat ✨❤️🔥<3 @dmsmith89 😂 & our the cat emoji 🙈🏽
10.",0.10410662740468979,0
sonicdrivein_1221,"bear with us, we’ re about to do a what if exercise.",0.11977914720773697,0
sonicdrivein_1197,it's been a while since we had our second one of these.,0.46012526750564575,0
sonicdrivein_780,in the news section of ny times'a guy who says he doesn’ t know where his mouth is.,0.7424696683883667,1
sonicdrivein_1623,"i love this menu but the last one was like, `` i didn t know there were any extra peppers in it.",0.10621584206819534,0
sonicdrivein_2078,"in a 20-minute period, the us team hasn't scored one point and they are still on track to win this championship.",0.3528587818145752,0
sonicdrivein_543,this is my new favourite snack.,0.49386271834373474,0
sonicdrivein_789,"when i try to drink that watermelon, it's just too much for me.",0.2714463174343109,0
sonicdrivein_339,a good way to say “ no more” is a great time of year.,0.754792332649231,1
sonicdrivein_791,what if you could just get it out of your house and eat some pizza for dinner?# we’ re not kidding! @ toledo.,0.1109192967414856,0
sonicdrivein_926,we don't know what we got for the number one.,0.14487646520137787,0
sonicdrivein_1729,"i don’ t know if i'm gonna be able to do this, but it definitely is.",0.8781154751777649,1
sonicdrivein_1765,"～we have a few things we can do about this, and they’ re just going to be great.",0.3907124102115631,0
sonicdrivein_952,"we’ re not the best of them, we are just now.",0.8733922839164734,1
sonicdrivein_1459,"a lot of us, and a little bit different.",0.5326470136642456,1
sonicdrivein_594,"what is this? we are here to celebrate the 20th anniversary of on! and have you been feeling lonely or just plain weird for some time now?! well, get out there.",0.036193449050188065,0
sonicdrivein_1254,you can get a 30-day supply of these at the post office today.,0.15668237209320068,0
sonicdrivein_414,"when the test is over, i want to go home and drink some beer.",0.910608172416687,1
sonicdrivein_204,"but the problem is, they’ re not having a good time.",0.4662415087223053,0
sonicdrivein_1666,the original pepperoni pizza is the 30% best-selling food item in america.,0.2447321116924286,0
sonicdrivein_135,"you know, we’ re not having a birthday party today.",0.7555831074714661,1
sonicdrivein_1849,i love this shit.,0.5611107349395752,1
sonicdrivein_556,"you're going to need a phone number, but you can also get your food from us.",0.26776567101478577,0
sonicdrivein_1737,"yes, i’ m gonna tell you.",0.7870853543281555,1
sonicdrivein_1102,but i don't know if this is the thing or what.,0.6227717995643616,1
sonicdrivein_655,when the dr's about to tell you what’ s on your mind.,0.9033433198928833,1
sonicdrivein_2185,you know what i love about this movie is the fact that it's got all of my friends in there and they were having a blast.,0.5550827980041504,1
sonicdrivein_1566,"the, the one who is always on your mind when you are thinking about a meme.",0.6632323861122131,1
sonicdrivein_842,"i know you’ re going to be like, “ well i have a sandwich.",0.3463272154331207,0
sonicdrivein_743,you can get a the you if ya wanna but we’ re not planning on having any drinks.,0.6447806358337402,1
sonicdrivein_1778,a couple of the year's best at.,0.18105998635292053,0
sonicdrivein_89,the only dog i ate today was a doggertino.,0.9465519189834595,1
sonicdrivein_344,"i'm not sure if this is what i should be for my baby shower, but you know the best.",0.6175305247306824,1
sonicdrivein_316,"we're gonna have to go in the car, so we’ re gon na be a little bit mad at that guy who has got his own netflix cart.",0.44703030586242676,0
sonicdrivein_1084,a young man at 35 years old with a face like an onion.,0.6851369738578796,1
sonicdrivein_1854,"why is it, and everyone loves the meme.",0.782367467880249,1
sonicdrivein_2189,you know what we should do? </s> i think that’ s the best way to keep your kids entertained while you eat dinner.,0.20507244765758514,0
sonicdrivein_69,and it's not about the smell.,0.6836113333702087,1
sonicdrivein_1635,"like many others, we’ re here to help you celebrate your birthday.",0.10109003633260727,0
sonicdrivein_614,the thing is that we’ re the best burger joints in chicago.,0.6165211200714111,1
sonicdrivein_196,"a couple of these things, you know i’ m sure they need a lil help with this and we just got our own! 👍😊👌; it will be worth the wait.",0.8969767093658447,1
sonicdrivein_1755,"this is a great idea for you! if your go-to shop, add these to your list of items.",0.2676678001880646,0
sonicdrivein_1138,my son's going to have his first birthday party on saturday.,0.18646705150604248,0
sonicdrivein_80,"we just don’ t know what it is, but i don't think we ‘ re going to be able this year.",0.7028061747550964,1
sonicdrivein_486,i had a big question for you.,0.6076879501342773,1
sonicdrivein_470,"this song is in mint, but it's not the one i like.",0.3399108350276947,0
sonicdrivein_1367,"it's not like a brain freeze, it is the worst thing i’ve ever had to eat.",0.35691139101982117,0
