image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
bokete_108069,"i'm sorry, but i wo n’t put that in your hand.",1,1,0.8652791,0.35417375,0.01230320756696479,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309
bokete_53089,"`` oh, no! i forgot to tell you that there was a small door on the left side.",4,1,0.9789627,0.35417375,0.188107049975692,0.04979304264062435,1.8834843577582417e-308,1.8834843577582417e-308
bokete_14791,"when i was thinking, `` oh my god! why don't you put your arm around me and swing over there? think of all the time we have together.",5,1,0.9663932,0.35417375,0.17857142857142858,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_57861,"and it's like, oh my god.",1,1,0.93261933,0.35417375,0.011580575203800259,1.546058109147204e-309,1.546058109147204e-309,1.546058109147204e-309
bokete_35417,"`` don't you know? '' oh, no! i just got my back when he was in the corner for too loud.",0,1,0.4898538,0.35417375,0.0,0.0,0.0,0.0
imgflip_1478,"it's a little something to say, `` oh my god! i have another egg in your hand.",2,1,0.92471033,0.35417375,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_15983,i'm just trying to be humble.,0,1,0.9776494,0.35417375,0.0,0.0,0.0,0.0
bokete_28098,"when you're in the new generation, how don't they want to meet with your friends? why are u wearing this shoes? class goodbye!&#160; made it better than before.",0,1,0.59251875,0.35417375,0.0,0.0,0.0,0.0
bokete_93141,"i'm so happy to find out that i was in front of the shop, and my head is going home.",5,1,0.8594415,0.35417375,0.21517699410626448,1.9151388181520816e-308,1.9151388181520816e-308,1.9151388181520816e-308
bokete_93722,"he's a man who says he was born in this country and i said, `` you can't say that to me.",2,1,0.93779165,0.35417375,0.0865863278930203,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308
bokete_21697,"i'm afraid to ask for a job because i thought they wouldn't like me anymore; and another one came at her? oh, no! '' she said.",4,1,0.4335344,0.35417375,0.10077357605934978,1.4574862231666913e-308,1.4574862231666913e-308,1.4574862231666913e-308
bokete_44782,"it's the last time i saw him in bed, so he went to sleep on a new dress that was already laid out.",4,1,0.9699295,0.35417375,0.17391304347826086,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_44302,"he said, `` i won't do it.",0,1,0.9583846,0.35417375,0.0,0.0,0.0,0.0
bokete_8755,"and i said, `` oh my god! if you don't keep your face to me like an animal in the wild.",4,1,0.8356603,0.35417375,0.17317265578604057,2.0229402343384255e-308,2.0229402343384255e-308,2.0229402343384255e-308
bokete_14426,"and i said, `` well if you don't run out of the ship and go on your own way back to life.",1,1,0.8844358,0.35417375,0.0008325290403970083,4.07536492931814e-310,4.07536492931814e-310,4.07536492931814e-310
bokete_45473,when you're talking to an old man: let him off your phone for a while.,1,1,0.96026886,0.35417375,0.0583448879361965,1.9473252738654987e-308,1.9473252738654987e-308,1.9473252738654987e-308
bokete_82162,"you know, when you see a guy with his hands in the dirt and he's about to get your permission.",4,1,0.9628451,0.35417375,0.155760156614281,0.040989514898494984,1.7328892633971685e-308,1.7328892633971685e-308
bokete_82264,"i'm going to tell you that when i was hit by an assassination squad, and they will get me on the way back home.",4,1,0.90968525,0.35417375,0.16666666666666669,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308
bokete_10214,"`` oh, i'm going to have an answer.",0,1,0.9681798,0.35417375,0.0,0.0,0.0,0.0
bokete_11177,i'm a little bit better off now.,0,1,0.9710154,0.35417375,0.0,0.0,0.0,0.0
bokete_18110,and i'm going to show you how we can live in a different life.,5,1,0.9708189,0.35417375,0.07968934291015352,0.051491575418868424,0.037188360024738305,0.020284560013493616
bokete_38440,"you're going to have a speech tonight, so i just want you not take anything away from me.",1,1,0.968631,0.35417375,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_45108,"i thought, `` i can't get it out of my head.",0,1,0.9600264,0.35417375,0.0,0.0,0.0,0.0
bokete_50682,"there's got a lot of it, you can not use your feet to find the right one because they can't win.",6,1,0.5597186,0.35417375,0.18612544500887301,0.03257195287655278,1.4495000173229606e-308,1.4495000173229606e-308
bokete_36989,`` i'm going to beat you up.,0,1,0.97296315,0.35417375,0.0,0.0,0.0,0.0
bokete_92890,i'm sorry! i forgot to breathe.,0,1,0.9682427,0.35417375,0.0,0.0,0.0,0.0
bokete_30121,"i'm going to tell you something that i have never told it before, and my mom is lying there.",6,1,0.93914044,0.35417375,0.26966515756532683,0.18976437013856334,0.1506952351100356,0.10674245820294191
bokete_106270,"i'm going to tell you about the story of my love, and i thought it was last year.",2,1,0.9692216,0.35417375,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
bokete_32694,"i'm sorry, i can't think of anything to do.",2,1,0.9717305,0.35417375,0.09135828677937498,9.14755210518586e-309,9.14755210518586e-309,9.14755210518586e-309
bokete_108812,`` i'm going to dry this here and stick it on your face all day long.,2,1,0.9701891,0.35417375,0.09735009788392564,0.05192005220476032,1.7328892633971685e-308,1.7328892633971685e-308
imgflip_912,"i'm telling a joke at work, so i only say it once every few seconds.",0,1,0.9766134,0.35417375,0.0,0.0,0.0,0.0
bokete_20788,"i don't know if i ’m going to be in the cave or not, but my mother always keeps an eye on me.",5,1,0.9790041,0.35417375,0.1469944201155973,0.0614703938665225,1.5045378311099884e-308,1.5045378311099884e-308
bokete_107934,"`` i'm only about this much, but if you keep it up for a while, they can't get any more! '' </s>.",1,1,0.8034474,0.35417375,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
