image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
mcdonalds_switzerland_45,"so, this mcdonald 's you must recognize.",0,1,0.96231425,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_168,a new year is coming up and i 've got something for you.,2,1,0.9757624,0.4193238,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_172,"so, soooooo, sooooooooooo ... i may not be as big as you are, but i am still a big deal for you.",4,1,0.9381544,0.4193238,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_27,"i love to eat cheesy fries with my friends and i 've got you covered with a fabulous hoodie from mcdonald 's( limited edition, must have). will you be able to find it at the amazon.",4,1,0.8993342,0.4193238,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_332,when you’ re not feeling good and you’ re not feeling good at all.,0,1,0.9398809,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_50,the big mac bacon is just as good as you think it is.,1,1,0.96051216,0.4193238,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_220,"do you know switzerland as well as you think? if so, can you tell me where this mcdonald 's restaurant is located? 📍🏼‍♀️# mcfamilyswitzerland# mcdonalds# telenovela# mcdonaldsmerch# telenovela2020#",8,1,0.93374926,0.4193238,0.21428571428571425,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_117,"it’ s almost christmas, and i want to thank you for all the fun we had together.",2,1,0.97930235,0.4193238,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_81,we all have a sweet tooth.,0,1,0.97583824,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_265,the first word you see will be the next benefit you experience when using order& pay in the app.,5,1,0.9572473,0.4193238,0.15789473684210523,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_80,we all have a menu that automatically comes in mind when you order at mcdonald 's ... so here 's your chance to win 5x1000 bonus points ... which of these restaurants offers mcdonald 's mcdrive 's? 📍🏼# f.,0,1,0.8974801,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_706,i 'm sure you already know how to use this new technology.,0,1,0.97696906,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_737,the face you make when you order at the table and get the same amount of fries as you ordered but with different flavors.,4,1,0.9421571,0.4193238,0.16666666666666669,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_181,a medium menu with a medium sauce and a medium menu with a big mac sauce.,0,1,0.8054064,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_735,i know some people who 're lovin' mcdonald 's.,0,1,0.9706853,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_7,"it’ s almost christmas, and i want to wish you all a wonderful holiday season.",3,1,0.9764305,0.4193238,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_16,"so, soooooo ... i guess i should just say that i 'm a big mac fan.",1,1,0.9648945,0.4193238,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_721,i love to eat my chicken mcnuggets® ... i know some people who do that.,0,1,0.97642344,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_237,we 've got you covered with a fabulous hoodie from mcdonald 's that 's just for lovin' it.,0,1,0.71376115,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_732,i promise that i 'm not kidding.,0,1,0.9690535,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_6,"so, soooooo ... i guess i should just go to mcdonald 's ... and order ... right now? thanks to@ mcfamilyswitzerland for this tasty video.",0,1,0.84080255,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_69,i love to eat cheesy fries with my friends and i 've got that going for you.,0,1,0.96150035,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_725,i 'm sure you already know what 's in your mcdonald 's cup.,1,1,0.9791271,0.4193238,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_864,"when you’ re not feeling good and you just want to eat some chicken mcnuggets ... well, sometimes you just have to eat chicken nuggets ... 😉 🍔😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉",0,1,0.94719875,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_637,i love to eat my chicken mcnuggets® and i am so into them that i even sent my best friend a pic of me with them.,2,1,0.9263543,0.4193238,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_203,we are here to make your life easier.,1,1,0.97430146,0.4193238,0.09735009788392564,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308
mcdonalds_switzerland_793,i 'm sure you already know what 's in your mcdonald 's cup.,0,1,0.9791271,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1,"a little something for everyone: every time you turn on the ogg game, you get the chance to win 5x1000 bonus points.",2,1,0.9453721,0.4193238,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_222,i 'm sure you already know what 's in your mcdonald 's cup.,0,1,0.9791271,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_22,it’ s time for the chicken mcnuggets® 🍔🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟🍟�,0,1,0.9214182,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_271,"it’ s almost christmas, and i ‘ re lovin' it.",0,1,0.9558039,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_118,a little treat and a warm welcome to sunday night mcdonald 's in switzerland.,1,1,0.9516707,0.4193238,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_828,i 'm sure you already know how to use this menu.,1,1,0.97845525,0.4193238,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_904,the first word you see will be the next benefit you experience when using order& pay in the app.,2,1,0.9572473,0.4193238,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_90,i love to eat cheesy fries with my friends.,1,1,0.98313534,0.4193238,0.08897082254631197,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308
mcdonalds_switzerland_60,who 's going to get the last chicken mcnuggets®? tag them in the comments below.,0,1,0.94813764,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_691,"i 'm lovin' mcdonald 's, and i 'm lovin' you.",0,1,0.9629385,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_654,the most delicious way to heat up your favorite sauce: by adding a touch of vanilla extract.,1,1,0.9810883,0.4193238,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_769,the big mac bacon is just as good as you think it is.,1,1,0.96051216,0.4193238,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_205,i know some people who 're lovin' mcdonald 's ... who 're lovin' their fries too? 📍@ f.,0,1,0.9109312,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_73,"i 'm lovin' mcdonald 's, and i 'm lovin' you.",1,1,0.9629385,0.4193238,0.09048374180359597,2.0133300850710214e-308,2.0133300850710214e-308,2.0133300850710214e-308
mcdonalds_switzerland_835,i 'm sure you already know what 's in your mcdonald 's cup.,1,1,0.9791271,0.4193238,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_662,the big mac bacon is the best.,0,1,0.81645316,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_712,i 'm sure you already know how to use this app.,1,1,0.98042136,0.4193238,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_163,when you’ re not feeling good and you’ re not feeling good at all.,1,1,0.9398809,0.4193238,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_628,i love to eat my fries with my big mac sauce.,0,1,0.96071994,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_178,a little evening camping in the swiss als.,1,1,0.84583265,0.4193238,0.08591115984887154,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
mcdonalds_switzerland_419,i love to eat cheesy fries with my friends and i must admit i am a big cheese lover.,1,1,0.969696,0.4193238,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_19,what if i told you that there is a magic carpet under your bed that can turn into a real ode to happiness? play the game below to see for yourself.,4,1,0.96468496,0.4193238,0.06451612903225806,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_13,a warm welcome to the swiss team gamedays 🎉🍔 who 've teamed up with mcdonald 's to bring you the warm welcome of summer with a delicious mcflurry®.# worldchesshungryclubs# mcfamilyswitzerland# mcdonalds# telenovela# mc,0,1,0.7240781,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_713,i 'm sure you already know what 's in your mcdonald 's bag.,0,1,0.98127556,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_794,i know some people who 're lovin' mcdonald 's.,0,1,0.9706853,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_774,"breaking news: this week, the hamburgers are back on the big tasty menu.",0,1,0.9776897,0.4193238,0.0,0.0,0.0,0.0
mcdonalds_switzerland_169,i promise that i 'm not going to lie and steal your chicken mcnuggets® ... i promise i 'm not going to steal your heart ... i promise i 'm not going to steal your life savings ... i promise i 'm not going to steal your car keys ... i promise i 'm not going to steal your,5,1,0.95948976,0.4193238,0.016949152542372878,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_31,episode 5/8 – nervous and struggling to find the right outfit? sounds like@ malbuner has found the right outfit for you.,1,1,0.84522533,0.4193238,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_122,i know some people who 're lovin' mcdonald 's.,0,1,0.9706853,0.4193238,0.0,0.0,0.0,0.0
