image_id,caption,humor_score,humor
sonicdrivein_69,# 1.,0.6495457291603088,1
sonicdrivein_2052,"when i got home from work, my mom asked me to make a pizza.",0.6606622934341431,1
sonicdrivein_789,"we’ re going to be here for a while, but i'm gonna have the money.",0.14644315838813782,0
sonicdrivein_1737,i’ m just gonna do this.,0.7110693454742432,1
sonicdrivein_1755,this is a very simple solution to this problem.,0.847861111164093,1
sonicdrivein_414,the best part of this trip is that we 'll be able to see the whole world from a bird’s eye view.,0.7785009145736694,1
sonicdrivein_1459,"we have to go back in the bathroom, and we're going to be here.",0.36483660340309143,0
sonicdrivein_791,"i'm not sure if you’ re going to like this, but i am.",0.6947915554046631,1
sonicdrivein_2181,"it’ s a, and i love it! the new season is coming up.",0.018970172852277756,0
sonicdrivein_532,the only thing that really works is the dog food.,0.3756336569786072,0
sonicdrivein_470,"a, and we all know what this is.",0.3247419595718384,0
sonicdrivein_339,"the first time i ever used this app, my friend posted a picture of her cat and it's like the best thing on instagram.",0.3156477212905884,0
sonicdrivein_196,it’ s not like i'm just going to make a big mistake.,0.9949829578399658,1
sonicdrivein_952,"a couple of years ago, i decided to take a 't-i t with the full face mask.",0.5841458439826965,1
sonicdrivein_80,i’m not sure if i like this but it doesn't have any flavor.,0.664752185344696,1
sonicdrivein_2185,"the more i get into this and the bigger my bag is, the better.",0.9076977968215942,1
sonicdrivein_1566,"this is the emoji that makes you think, “ i’m not sure if this was a test or something” when it pops up.",0.49877265095710754,0
sonicdrivein_780,when you’ re not on the app and your boyfriend is watching a funny video.,0.7275302410125732,1
sonicdrivein_2095,i'm not gonna do it.,0.8351479172706604,1
sonicdrivein_2189,"i don’ t know if you're just like, hey i got a beer.",0.8379324674606323,1
sonicdrivein_1367,"i was like, "" oh my god i’m so excited for this dog day! what are you going to get? and then we can go on a road trip.",0.10694007575511932,0
sonicdrivein_316,"when you’ re on the couch and watching a tv show, i just can 't get off it.",0.4692871868610382,0
sonicdrivein_594,we’ re going to do a show on this week.,0.27346840500831604,0
sonicdrivein_89,"it’ s the first day of summer, and it's also our last night.",0.8158144354820251,1
sonicdrivein_2078,"the new # no-frills burger is a delicious cheeseburger with the perfect amount of salt, pepper and cheese.",0.2399526983499527,0
sonicdrivein_926,"you know, we have a lot of great ideas to make it better.",0.29407379031181335,0
sonicdrivein_1471,"i love you, but i’ m not sure if this is the best way to say it.",0.4773142635822296,0
sonicdrivein_743,this is a full stop.,0.6861884593963623,1
sonicdrivein_614,"when you’ re in a hurry and need to get something quickly, just say “you know what i mean?#3c09418257#takemymom.",0.2640031576156616,0
sonicdrivein_877,today is the day when everyone can get a 30-year loan and pay it off in just over two years.,0.16369573771953583,0
sonicdrivein_1254,"in the first week of school, i was in a 30-minute jam with friends and my boyfriend.",0.24550028145313263,0
sonicdrivein_135,"you can’ t eat it in the car, but you 'll be able to get a drink.",0.3887576758861542,0
sonicdrivein_655,i’ m going to tell you a few things that i hope are true for christmas this year.,0.8130342960357666,1
sonicdrivein_491,"a couple of hours later, i got a text from my ex-boyfriend saying he was home.",0.6140320301055908,1
sonicdrivein_1778,this is the first time i’ ve been on this site to see a large number of.,0.14965489506721497,0
sonicdrivein_1221,"i'm not a fool, i’ m just thinking about it.",0.315064400434494,0
sonicdrivein_1102,i'm not going to do this.,0.8157979249954224,1
sonicdrivein_1996,i got a puppy! it’ s not the cutest dog in history.,0.5391255617141724,1
sonicdrivein_556,this is the perfect time to buy a new phone.,0.2767591178417206,0
sonicdrivein_1623,i'm so excited to finally get my first real-life version of the red tiger burger.,0.1868402659893036,0
sonicdrivein_1854,the most fun way to celebrate #worldcup2018 is by watching the game with your friends and family! it’ s like a mini-celebration of all that makes us happy.,0.15579462051391602,0
sonicdrivein_1765,"q: what are you going to do when u get home? a: i’m not sure, but here is some ideas for the rest of your day! </s> q: how about we have lunch together tonight?? A: yeah.",0.09373879432678223,0
sonicdrivein_1084,"and then i said, "" oh my god! what are you doing? get up and walk.",0.24926811456680298,0
sonicdrivein_1729,a couple of the things i’ve been told to do in a day: 1.,0.47377851605415344,0
sonicdrivein_842,"when you’ re like, “ i love this cake.",0.40934768319129944,0
sonicdrivein_204,but this is the best thing i’ ve ever seen for like 30 seconds.,0.4393138289451599,0
sonicdrivein_1666,the most famous thing that's been on the market for over a year is… the smell of dog food.,0.4144282639026642,0
sonicdrivein_311,we have a whole list of things you can do with your phone.,0.44462183117866516,0
sonicdrivein_1197,"yes, i'm going to get my first day of the new year with a large can soda.",0.22218412160873413,0
sonicdrivein_1138,"i love you, but i don’ t think this is a sandwich.",0.2170792669057846,0
sonicdrivein_1849,this is the only thing i can do to get a dog.,0.7784761786460876,1
sonicdrivein_478,"when you’ re not sure if it is a bad day or an amazing one, just say “ i love ice cream.",0.07063677906990051,0
sonicdrivein_486,i got this from the internet: '' i love you!& lt;3/4> like a little girl in her underwear.,0.16234071552753448,0
sonicdrivein_543,"a: "" i’ m going to eat this.",0.7363535165786743,1
sonicdrivein_344,"it's not just about the end of a season, it is also for this year.",0.746040940284729,1
sonicdrivein_1635,it’ s the best of all time.,0.2635970115661621,0
