image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_1765,fo.,0,1,0.8727275,0.4369211,0.0,0.0,0.0,0.0,0.4015253484249115,0
sonicdrivein_135,i have a question for you.,0,1,0.97943497,0.4369211,0.0,0.0,0.0,0.0,0.5978690385818481,1
sonicdrivein_594,you know what i mean? </s> we’ re going to have a fun day! you can do it all by yourself.,3,1,0.97917056,0.4369211,0.0952380952380952,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0167676899582147,0
sonicdrivein_2052,i'm not sure if you like this but i do n’t know how to make it.,0,1,0.954094,0.4369211,0.0,0.0,0.0,0.0,0.7223288416862488,1
sonicdrivein_1102,"i know this is a good thing, but i’m not going to tell you what it was called.",1,1,0.9793673,0.4369211,0.0318751900409684,1.2766437377119805e-308,1.2766437377119805e-308,1.2766437377119805e-308,0.7011185884475708,1
sonicdrivein_1367,it’ s the best christmas season ever.,1,1,0.9692681,0.4369211,0.0296783124490858,4.622550603655005e-309,4.622550603655005e-309,4.622550603655005e-309,0.2404800057411193,0
sonicdrivein_743,"you know, when you’ re in a hurry and all the places are closed.",4,1,0.9686313,0.4369211,0.0335197617412145,2.61043809578189e-309,2.61043809578189e-309,2.61043809578189e-309,0.8423930406570435,1
sonicdrivein_1854,"this is the most awesome ice cream cone i’ve ever had! it was a big, round one with sprinkles on top and some extra whipped topping.",1,1,0.9661095,0.4369211,0.0384615384615384,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3370608687400818,0
sonicdrivein_478,"when you say ""i love ice cream! i like strawberry, chocolate and vanilla.",1,1,0.87786734,0.4369211,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.1498384326696396,0
sonicdrivein_486,the word of the year is now.,3,1,0.8676799,0.4369211,0.3220616970322653,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,0.4713933169841766,0
sonicdrivein_655,i'm not going to be able ot get a full size shirt this year.,1,1,0.9003913,0.4369211,0.0714285714285714,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9181118607521056,1
sonicdrivein_69,i love this song! i’ m so excited for my first episode of r# watermelon.,0,1,0.95924914,0.4369211,0.0,0.0,0.0,0.0,0.136002317070961,0
sonicdrivein_1221,"#askmummy: what do you think? '' is this a dog food or cheese fries?!#$*#@&*
i love when people ask me about my favorite foods! i get to try them all.",3,1,0.95044965,0.4369211,0.0420350384508682,9.353106519837445e-309,9.353106519837445e-309,9.353106519837445e-309,0.015805784612894,0
sonicdrivein_311,"when you’ re done with your shower, take a sip of this strawberry watermelon milk.",0,1,0.98164684,0.4369211,0.0,0.0,0.0,0.0,0.1290150880813598,0
sonicdrivein_1666,"i'm not sure if you know it, but this is the best thing in the world.",2,1,0.97337556,0.4369211,0.125,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,0.4015013575553894,0
sonicdrivein_1197,how do you like this? the is of my new taco bell meal! # postdaggerstagrammer ♣️♡ ♥ ❤️@ taco-bell®.,1,1,0.66707873,0.4369211,0.0526315789473684,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0266438778489828,0
sonicdrivein_344,i'm here to help you with your  ¦️plant and decor design.,0,1,0.9493027,0.4369211,0.0,0.0,0.0,0.0,0.4188815951347351,0
sonicdrivein_491,"i can’ t believe i texted my boyfriend, who is now on a vacation with his family.",1,1,0.97667545,0.4369211,0.0588235294117647,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.7989708185195923,1
sonicdrivein_2181,"a new mom, who has been keeping up with her kids’ activities for years.",0,1,0.88881147,0.4369211,0.0,0.0,0.0,0.0,0.2219858169555664,0
sonicdrivein_2185,"and then i was like, oh my god this is the perfect size for a hug.",2,1,0.9436225,0.4369211,0.0914519536183302,1.627898810444522e-308,1.627898810444522e-308,1.627898810444522e-308,0.6290503740310669,1
sonicdrivein_1729,"when you get to the store and see a whole bunch of these, "" this is what we got for christmas.",4,1,0.9221089,0.4369211,0.1904761904761904,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3661397695541382,0
sonicdrivein_2189,the only thing that’ s not going to be.,0,1,0.9245106,0.4369211,0.0,0.0,0.0,0.0,0.5521523952484131,1
sonicdrivein_842,"@ jackie, i’ m thinking about the s of.",1,1,0.683519,0.4369211,0.0327305364789008,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.740630030632019,1
sonicdrivein_204,we have a lot of fun on the # icecream runs! i’ m sure you guys are going to love it.,1,1,0.96942544,0.4369211,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0361125543713569,0
sonicdrivein_316,now you know what we’re talking about.,0,1,0.9684001,0.4369211,0.0,0.0,0.0,0.0,0.734167218208313,1
sonicdrivein_1254,"the next day, we’ ll be playing a game of football with our friends at the park.",1,1,0.98471594,0.4369211,0.0522946920825162,1.9781123889553905e-308,1.9781123889553905e-308,1.9781123889553905e-308,0.1176943853497505,0
