image_id,caption,humor_score,humor
mcdonalds_switzerland_737,i just'm not a person who eats pizza every day.,0.8222490549087524,1
mcdonalds_switzerland_19,"the moment when you're eating your lunch, the next thing that comes to mind is.",0.8660643100738525,1
mcdonalds_switzerland_904,you can have a good time this coming saturday.,0.757928192615509,1
mcdonalds_switzerland_586,"my favorite app is a lot! i've been using it for almost two years now, and still love them.",0.03889269381761551,0
mcdonalds_switzerland_118,"the feeling of being in a, moment when you know that your friend is coming over to meet the person who made it so delicious.",0.8072039484977722,1
mcdonalds_switzerland_234,"a lot of people are struggling to keep their jobs, and many companies do not know how they can improve.",0.3315032720565796,0
mcdonalds_switzerland_410,10's a great name for your day! just to say hi in the morning is enough.,0.027737092226743698,0
mcdonalds_switzerland_864,"when you can’ t see your favorite people in the app, but they do have a cool and light to help with it.",0.7809978127479553,1
mcdonalds_switzerland_1899,"this is a quiz for those who love their food, and the winners will get free tickets to all of these markets! go ahead and start playing now.",0.0021328958682715893,0
mcdonalds_switzerland_682,"if you are looking for a delicious and easy meal, check out our recipe "" sushi roll with avocado on top of rice.",0.116952084004879,0
mcdonalds_switzerland_432,and you 'll see that the holiday season is full of it.,0.6808525919914246,1
mcdonalds_switzerland_203,"for the first time in your life, you're going to hear it.",0.6000075340270996,1
mcdonalds_switzerland_1890,you 'll love this! i think you have a lot of time for your friend.,0.7665273547172546,1
mcdonalds_switzerland_744,"when you’ re looking at a phone screen and have your mind wandering off to the other, what are people that just got posted? get out for this post.",0.16669601202011108,0
mcdonalds_switzerland_80,"you're in a restaurant, and you can not eat the apple.",0.6200888752937317,1
mcdonalds_switzerland_461,!!!!!!!!!!!!!!!!!!!!!!!!!!!.,0.3072119653224945,0
mcdonalds_switzerland_616,"mom of three, who also happens to be a lawyer.",0.15298941731452942,0
mcdonalds_switzerland_646,1.,0.4644112288951874,0
mcdonalds_switzerland_2052,"it's a good time for you, even if it’ s not the main character in this video.",0.27396079897880554,0
mcdonalds_switzerland_1988,"the last day of the show is here! make your own ""moza pasta sauce,"" which you can prepare in advance and enjoy with family or friends.",0.00944717600941658,0
mcdonalds_switzerland_163,did you know that there's a guy who can make your me with out paying for it? i mean literally.,0.5369022488594055,1
mcdonalds_switzerland_27,your heart is telling you what to do.,0.5321897864341736,1
mcdonalds_switzerland_761,i'm so happy that i can count on you.,0.569964587688446,1
mcdonalds_switzerland_117,"hi, everyone.",0.9738744497299194,1
mcdonalds_switzerland_1962,"you know what i'm gonna do? watch this video to make sure you don’t miss your first movie fest! 
the best way is always the most expensive.",0.035827722400426865,0
mcdonalds_switzerland_598,"this year, we're going to get our hands on the same shit that makes it mmm! have a great holiday.",0.09551659226417542,0
mcdonalds_switzerland_409,it's my favorite day of the year.,0.4299381375312805,0
mcdonalds_switzerland_721,"again the big, let us know what you think of this new taste test! was your reaction to our burger with chicken liver? weren't there some smells that made you feel a little bit sick?!#eatwellthismonth.",0.32096585631370544,0
mcdonalds_switzerland_654,you know what? it's not like to do this.,0.928359866142273,1
mcdonalds_switzerland_769,"bever b fast, and the other guys are hungry too.",0.9748484492301941,1
mcdonalds_switzerland_265,the most popular emoji of the day is a kiss! : it s always been my favorite and i m sure you love this one too.,0.19967111945152283,0
mcdonalds_switzerland_725,"don't worry, it is a fact that we are all going to meet the mcdonald ’ s gift in no time! keep up your great work and you guys will get rewarded with this special offer.",0.01069591287523508,0
mcdonalds_switzerland_610,"the first one that can’t be in your mind is the m, and it may come out of nowhere.",0.31886300444602966,0
mcdonalds_switzerland_569,"in case you're not getting it on time, just ask your local store for a last-minute refill.",0.1373869627714157,0
mcdonalds_switzerland_478,"when you're eating with your friends or family, try to notice the different types of insects that are attracted by them.",0.053166136145591736,0
mcdonalds_switzerland_716,"this is the chop i ate with my friend, and it's not worth anything.",0.33085644245147705,0
mcdonalds_switzerland_767,when you're about to say something really stupid and it pops up on your mind.,0.41376209259033203,0
mcdonalds_switzerland_2025,"`` if you are not able to find your number, just click on the "" like this.",0.7234174609184265,1
mcdonalds_switzerland_402,"yes, it's a dog.",0.642838716506958,1
mcdonalds_switzerland_1995,"i'm happy to have you! the first tweet i sent on my day of happiness was your joy&; it really made me laugh, so here’s a big thanks in return 👏👌👍🙂😊😂.",0.0010355933336541057,0
mcdonalds_switzerland_568,"when you see a dog in the corner, don’t be like “ oh no he doesn’ t eat anything.",0.7558766603469849,1
mcdonalds_switzerland_16,don’ t forget to add the “ order by price” option when you are shopping online.,0.9215227961540222,1
mcdonalds_switzerland_69,a sharp one in your mouth is like a or the end of this year.,0.912288248538971,1
mcdonalds_switzerland_181,"a restaurant that has a "" s in the menu, but you get to eat it! and your burger is full of salt.",0.07839088886976242,0
mcdonalds_switzerland_496,we know you're excited to try out the new food at super market! just make sure not get your eyes on it.,0.08504796773195267,0
mcdonalds_switzerland_615,what are you doing this evening? it is a long way to your favourite restaurant! the i’ m of carthagena will be there in 10 minutes.,0.03260238841176033,0
mcdonalds_switzerland_2000,"a, i got up and tried to play the dance that has never been done before by a company in japan: ♥️the koto dancing! 👍👌😊🙏🏻
i was on my way home when we were asked for an opinion about our work yesterday.",0.4497498869895935,0
mcdonalds_switzerland_13,a: this is a perfect day to get your feet in some fun and have lots of laughter.,0.6748924255371094,1
mcdonalds_switzerland_429,this week we’re trying to make some changes in the menu.,0.1448906809091568,0
mcdonalds_switzerland_794,"if you're not sure if your missing a friend, just check the other side of this table.",0.7653868794441223,1
mcdonalds_switzerland_1895,the difference between your sandwich and a watermelon is small.,0.3179682195186615,0
mcdonalds_switzerland_31,"for the 2019 edition of our international pop quiz, we are going to ask you some questions about your favorite celebrity.",0.11672226339578629,0
mcdonalds_switzerland_1918,a: the last one i ate.,0.39670243859291077,0
mcdonalds_switzerland_642,the first thing you see when opening your iphone is the menu.,0.9178627133369446,1
mcdonalds_switzerland_1037,"in 2018, a the h.",0.3975202739238739,0
mcdonalds_switzerland_499,and then you get your free mcdonald’s app! '' i thought this was the perfect way to start our week.,0.05599476397037506,0
