image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_2199,"when you’ re not sure what to do with your dog, just ask the store.",0,1,0.9723265,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_911,you know what i do? </s> you just want to eat it up.,1,1,0.97159225,0.4169473,0.07122777528017817,2.060331790082205e-308,2.060331790082205e-308,2.060331790082205e-308
sonicdrivein_1991,the # sound of the future is here! listen up and check it out.,0,1,0.8818735,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_1667,you're the next ice cream flavor of your life! it’ s called '' shark n' sea.,1,1,0.8129043,0.4169473,0.03790816623203959,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
sonicdrivein_1234,the mic is here.,1,1,0.9706781,0.4169473,0.0003758597982443931,3.3452632461496e-311,3.3452632461496e-311,3.3452632461496e-311
sonicdrivein_2035,we’ re here to help you find the perfect recipe for your next workout snack.,1,1,0.98103243,0.4169473,0.04468800306904262,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_1933,we have a few things we can do to make this summer easier.,2,1,0.9726027,0.4169473,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2028,this is the menu for our first - day of a week at my local restaurant.,1,1,0.97452545,0.4169473,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1715,"when u ask for a's, do you get one? i would love to have some! but it’ s not available.",1,1,0.947002,0.4169473,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_363,the first one who's not on the same side as you is a fucking asshole.,1,1,0.97482514,0.4169473,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_850,the only thing i can do is drive a 't truck to the mall.,2,1,0.966352,0.4169473,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1516,"i know it’ s not a bad idea, but we need to be honest about what they can do.",0,1,0.97531134,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_2087,i'm going to try this with my dog today! 👇👈🦅🐶🍲🥤🌿# happyhalloween🎃🙏🤗💕# luckygirlscountdown 🙄🏻❤️# foodporn🔥😊😂✨ 🥳️ 🍖📷 📸 💚⛽ �,1,1,0.9019742,0.4169473,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_896,#10thingsi've learned to make with a small amount of money in my bank account.,1,1,0.10856837,0.4169473,0.04997660981250929,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308
sonicdrivein_2127,the first time we used our own house to celebrate the anniversary of their 2015 recipe contest.,0,1,0.9569945,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_1367,it's not a meme.,1,1,0.9654417,0.4169473,0.007549345855579625,6.71914084483213e-310,6.71914084483213e-310,6.71914084483213e-310
sonicdrivein_1024,"f you’ re not into it, we're here to help make your life more fun and easier! 👍👌🏽♻️🍦🎶🧠🌱 🌟🥤 🍲💕 💚 🥗 😅 🙄🙂😊🤩 🤣 🛋️ ⠀⠀⠀⠀ check",4,1,0.9036934,0.4169473,0.0836073006153446,1.3022269328569304e-308,1.3022269328569304e-308,1.3022269328569304e-308
sonicdrivein_869,what is the best way to order a meal? call 802-75469 or text us@banhbuzz and we’ ll give you your menu for free! pic.,2,1,0.8919952,0.4169473,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_788,what if you couldn't find the perfect smell of a burger? and i can # makeyoufeelgood.,2,1,0.83292097,0.4169473,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1021,"when you see a blue, i know it's just the cutest thing in this world.",3,1,0.96898896,0.4169473,0.02532142055781671,2.817101547173315e-309,2.817101547173315e-309,2.817101547173315e-309
sonicdrivein_1976,my favorite thing about this month is the i-spaceweb.,1,1,0.97971,0.4169473,0.07961459006375435,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
sonicdrivein_1453,"i'm not a fan of this, but i love it.",1,1,0.9808837,0.4169473,0.027253179303401272,6.06403368292093e-309,6.06403368292093e-309,6.06403368292093e-309
sonicdrivein_2236,"i've got a drink for you, just in case.",0,1,0.9751338,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_2125,"when you’ re hungry, just think of the best taco truck in your life.",0,1,0.96819365,0.4169473,0.0,0.0,0.0,0.0
sonicdrivein_1809,"you’ ll be able to eat a, of the new menu at your local burger joint.",4,1,0.8937707,0.4169473,0.026349806140466083,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309
sonicdrivein_1745,`` i’ m going to have a lot of fun with this.,1,1,0.978721,0.4169473,0.03936387939508455,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308
