image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_2193,it's been a long time since i have the opportunity to try something new.,2,1,0.9795522,0.33971754,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308
sonicdrivein_964,"i’ m not sure if you've seen this before, but here it is.",0,1,0.97603446,0.33971754,0.0,0.0,0.0,0.0
sonicdrivein_1677,"it's been a long time since we have an ice cream sundae, and it has n’t gotten any better.",2,1,0.9604558,0.33971754,0.08527976157183438,1.8026607972655986e-308,1.8026607972655986e-308,1.8026607972655986e-308
sonicdrivein_1026,"it's not about the food, it ’ s all of us.",1,1,0.9639946,0.33971754,0.0112340676419649,2.749629325832226e-309,2.749629325832226e-309,2.749629325832226e-309
sonicdrivein_2218,it's been a long time since we’ ve had fun.,1,1,0.9836362,0.33971754,0.07408182206817181,1.6483752567447546e-308,1.6483752567447546e-308,1.6483752567447546e-308
sonicdrivein_1909,"when you think about it, this is what we should be dreaming of... but i don't know if there will ever come a time when dogs can talk to each other in their own language.",0,1,0.97104824,0.33971754,0.0,0.0,0.0,0.0
sonicdrivein_1005,"it's not about the food, it ’ s about how much fun you have on your way home.",1,1,0.9702996,0.33971754,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2087,i'm going to make a pizza for my friend’ s birthday party tonight! i need your help with the dough and toppings 👍👌🧀🍕🥪🎉🤩😊💚🏽🌞#pizzaparty 🍝 🥗📸 pic.,3,1,0.9415633,0.33971754,0.1153846153846154,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2085,it's about time we get out of our asses and go to the taco truck.,4,1,0.96812606,0.33971754,0.0702925701641938,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309
sonicdrivein_1969,"i'm not going to tell you about it, but i do n’t know if this is the best ice cream we have ever had.",1,1,0.963774,0.33971754,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2052,you know what i've been thinking all day.,0,1,0.9789347,0.33971754,0.0,0.0,0.0,0.0
sonicdrivein_1023,"what’ s the name of this thing? </s> what do you think it should be called?? 👍👌🏽🏻🧔‍♂️🐾🤷
.",1,1,0.9578332,0.33971754,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1440,"i've got a few ideas for this week, so here it is.",0,1,0.9709461,0.33971754,0.0,0.0,0.0,0.0
