image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
imgflip_210,"i'm going to tell you that i don't know what it is, but if u want me not say anything.",2,1,0.95076215,0.37306845,0.09048374180359597,2.0133300850710214e-308,2.0133300850710214e-308,2.0133300850710214e-308
imgflip_113,"i'm going to tell you something, but i would n’t mind if he was lying on the bed.",3,1,0.9574405,0.37306845,0.12624418806616108,1.6854158559269373e-308,1.6854158559269373e-308,1.6854158559269373e-308
imgflip_135,"i'm sorry, but i feel like you shouldn't be out playing football until next time.",1,1,0.9779547,0.37306845,0.024525296078096157,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
imgflip_380,"i've been looking for my best friend, and i thought it was just a person at the party.",2,1,0.97958106,0.37306845,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_73,"you know, you want to get a cup of coffee in your hand.",2,1,0.9738763,0.37306845,0.05236249217872196,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308
imgflip_881,who's name is ill in the past year? i used to do it over again.,1,1,0.6891746,0.37306845,0.00565781859800116,1.88835963878829e-309,1.88835963878829e-309,1.88835963878829e-309
imgflip_3,"what should i do when a'm looking for me to go home after sleeping on my back? well, you re not going anywhere.",3,1,0.21981335,0.37306845,0.03860887017585108,6.586248393000334e-309,6.586248393000334e-309,6.586248393000334e-309
imgflip_577,i'm going to show you how i make my own nails.,1,1,0.9704899,0.37306845,0.033443585561040205,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
imgflip_126,"i'm going to put a i in my hair; but if you do n know what it means, then this is the right advice for me! no matter how old or young she was </s>.",7,1,0.887541,0.37306845,0.19436657500659626,2.162399925073842e-308,2.162399925073842e-308,2.162399925073842e-308
imgflip_29,what's the difference between me and my brother? why do i have to put up with him instead of just like it.,4,1,0.9626089,0.37306845,0.16601831205132045,2.031716533983919e-308,2.031716533983919e-308,2.031716533983919e-308
imgflip_538,"i'm going to tell you that, and i know it.",2,1,0.96871346,0.37306845,0.10976232721880529,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
imgflip_63,"me: `` i want to be a fire captain! what do you say? the man; and he says, ""i will never become an crane.",1,1,0.83869505,0.37306845,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_218,so i'm not sure what to do with this but let me know if you like it in the future.,3,1,0.95970297,0.37306845,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_162,"it's like that, and i wo n’t do anything.",1,1,0.7699873,0.37306845,0.00772038346920017,1.546058109147204e-309,1.546058109147204e-309,1.546058109147204e-309
imgflip_389,i'm trying to put a boy in my room and i don't know when he says it! but im going out of the house; me vs.,3,1,0.63564837,0.37306845,0.06734370901656625,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308
