image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_645,"what a, is this what you think? i hope it s all right.",0,1,0.87916744,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_196,this is a real sonic shower.,0,1,0.9589591,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_344,"i'm not going to try and make this look like a real plant, but i am! so here it is.",2,1,0.9637042,0.53591985,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_486,i wrote a song about my sister who i have never seen before.,2,1,0.98072344,0.53591985,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_91,10 year old girl who was just given a new phone for her birthday.,0,1,0.5837267,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_571,the white house has been the subject of a lot o jokes.,0,1,0.97287804,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_408,it's the first day of school.,1,1,0.9705955,0.53591985,0.11942188509563156,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
sonicdrivein_497,@ chadilliam: just got a $10 bill for the first time ever.,1,1,0.90743935,0.53591985,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_373,"when i went to the grocery store and saw a sign that said, `` you can get your food delivery for only £2.",0,1,0.9525655,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_446,"the michelle, ” we are here to make you happy.",0,1,0.353187,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_832,""" i'm not going to be in the on my first day of school.",1,1,0.8376285,0.53591985,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1594,why are we all so mad at the trump team? they’ re always getting out of bed in a morning.,2,1,0.9821774,0.53591985,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_457,we’ re not just a food delivery service.,1,1,0.97072077,0.53591985,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_505,"🎉 we’ re excited to share our “ all in one” recipe with you!🍲🥗🧀👨‍♀️😊# forourspecialdeal 👩🏻🤸🏽
; 🦅🌿💰#allinonerecipe 🍴📷 🥘🐶🥇🥑🍳�",0,1,0.8015208,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_78,"the number of people who say, `` i love sonic the dolphin.",2,1,0.956321,0.53591985,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_143,what do you think of these cookies? i'm going to eat them all by myself!☺️🍪🥤 🍩🧁🐶🤦‍♂⬇🏻👨🏽📷💕😀# cringlesofhappiness pic.,0,1,0.8406807,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_566,we’ re here to help you find your perfect summer picnic spot.,0,1,0.97934407,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_65,the front page of this issue is a can i’ ve got to be? sonic hedgehog.,0,1,0.8920042,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_1384,a mom who can’ t stop eating these.,0,1,0.96110874,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_290,you know when you get a message from your friend and they say.,1,1,0.36451668,0.53591985,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_51,"when i was 14, my mom told me to not tell anyone that she had a crush on the guy next door.",1,1,0.97768426,0.53591985,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2052,you know what i mean? the ghost in your dreams is going to be an actual dog.,1,1,0.97790706,0.53591985,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_89,"a few weeks ago, we had a bbq party at our house.",1,1,0.9843258,0.53591985,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_496,"the next time you are on the go, why not check out this new one? it has 10% off your entire order.",1,1,0.7125417,0.53591985,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_742,we're not gonna be taking a vacation.,1,1,0.9762758,0.53591985,0.10735389901075512,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308
sonicdrivein_572,@ #40 is the most popular mic post of all time! so what are you going to do with it? pic.,2,1,0.9300841,0.53591985,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_596,"i love you, my food was delicious and the app has a ton of reviews.",3,1,0.9287073,0.53591985,0.2,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1502,a new mic that will let you hear your voice over the radio.,0,1,0.96605074,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_98,"the way we eat it is now, not the frozen pizza version.",0,1,0.8580878,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_893,the last thing we need is a food truck.,1,1,0.97264385,0.53591985,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_163,`` i’ m going to get my own burger and a coke.,0,1,0.9768366,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_491,a friend of mine just texted me to say she 'd bring in her car for a date.,0,1,0.9754743,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_670,the most delicious thing you can eat for breakfast is a chocolate peanut butter and jelly sandwich.,1,1,0.9834448,0.53591985,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_560,the best way to remember the end of summer is by getting a dog kiss.,0,1,0.9679684,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_283,you know what you should do? just click the like button on your post.,0,1,0.95705694,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_369,"the man who made this video, the ice cream truck.",0,1,0.87688875,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_690,this is the moment you finally get to see your favorite ice cream flavor in a sundae.,0,1,0.9601586,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_234,what are you thinking about?# thebody 2017 and your lips will melt in love!i hope u like it.,1,1,0.89035726,0.53591985,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_534,"a, who can’t stop eating ice cream on a hot day.",0,1,0.9706843,0.53591985,0.0,0.0,0.0,0.0
sonicdrivein_414,"when the report comes in, i’ ll be your new favorite food.",2,1,0.96040803,0.53591985,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_691,the best way to get your # happy baby shower is with a ton of unicorn themed goodies.,0,1,0.9388221,0.53591985,0.0,0.0,0.0,0.0
