image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_369,i'm not gonna be able to eat this pizza because i am a robot.,0,1,0.9622989,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_457,"we’ re not going to be here for a while, so i ‘m just gonna keep you company.",1,1,0.97675073,0.5046344,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_234,"do you know what i’ m thinking of? </s> if your mom is a dog, then this might be the best gift ever.",1,1,0.96793103,0.5046344,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_491,the # dogmom of the day is a black and white puppy with an orange collar.,0,1,0.95186293,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_690,"a new, fun and easy- on! pic.",0,1,0.749123,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_98,"the, the ice cream sandwich.",0,1,0.13888395,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_505,1.,0,1,0.8619599,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_143,the only thing that will make you happy is when they're in the shop.,0,1,0.9699715,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_152,the thing that i’ve been waiting for is the new “ mission with mr.,0,1,0.90362984,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_486,"i wrote a letter to my mom and she said, `` you know what i do?# the black cat is me.",3,1,0.96013224,0.5046344,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_51,"when i was 14, my mom told me to not let anyone call her a lesbian.",0,1,0.97225416,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_645,"a, a and b are the best! we’ re just not in on it.",0,1,0.8746777,0.5046344,0.0,0.0,0.0,0.0
sonicdrivein_446,the ice cream is here.,1,1,0.9646002,0.5046344,0.13406400920712788,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_697,we're going to have a taco party at the park!# pic.,1,1,0.91027904,0.5046344,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_596,we have a new app for you.,1,1,0.98078257,0.5046344,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
