image_id,caption,humor_score,humor
sonicdrivein_80,i just can’t believe this is the official # pic of our new menu.,0.6809354424476624,1
sonicdrivein_2052,a guy who thought he was going to get a job with an ice cream shop and then decided that's when i got this.,0.5964164137840271,1
sonicdrivein_780,"when your boss tells you to make a burger and then says, i don't know what it is.",0.8465597629547119,1
sonicdrivein_877,"in the car wash, we have 30 minutes to clean out all of our beer cans.",0.35288140177726746,0
sonicdrivein_1729,"it’ s like, “ we need to get this out of here.",0.6703376770019531,1
sonicdrivein_486,i bought this for my sister in law who is 30 years old and can t stop thinking about her.,0.42882877588272095,0
sonicdrivein_1635,when you order a @ chadribon ice cream and get an extra scoop.,0.04140230268239975,0
sonicdrivein_594,i'm not going to tell you what i’ m thinking about this.,0.6115039587020874,1
sonicdrivein_135,you’ re not here to eat any more ice cream.,0.6523824334144592,1
sonicdrivein_1849,im the most crazy person on this planet.,0.6176064014434814,1
sonicdrivein_1459,"and then, and 't the most expensive pizza in town.",0.25276657938957214,0
sonicdrivein_316,the car i’ m going to drive in is called “ tonics# one” but we all know that it doesn’ t exist.,0.2599438428878784,0
sonicdrivein_2181,"when we were at the party, i was so excited to see all of you but when it came time for my mom she just said.",0.18859584629535675,0
sonicdrivein_1755,the strawberry watermelon ice cream is the best of this summer.,0.6315164566040039,1
sonicdrivein_1765,a 30-second video of a dog doing this is the perfect way to get your mind off work.,0.21105284988880157,0
sonicdrivein_1138,my mom says she's not hungry.,0.5117043256759644,1
sonicdrivein_842,"i'm not going to make you a sandwich, but i’ m gonna get the best one in your house.",0.33661162853240967,0
sonicdrivein_204,but this is what we get for the price of a burger# u2019; like.,0.22971995174884796,0
sonicdrivein_478,"when i was 13 and my first date, we were at a restaurant that smelled like french fries.",0.23748336732387543,0
sonicdrivein_1197,"you can get a big, delicious taco at the end of your shift.",0.18381477892398834,0
sonicdrivein_1566,the app that tells you what u’ re going to eat next and when it says “ no more ice cream” is the worst.,0.33004090189933777,0
sonicdrivein_532,"i've been trying to find a dog that would eat my leftovers for weeks, and i just can’ t believe it.",0.1620265245437622,0
sonicdrivein_614,this is the first time i’ ve seen this in 20 years.,0.776823103427887,1
sonicdrivein_926,it's not like we have a plan.,0.26050204038619995,0
sonicdrivein_344,"i love you, because it makes me feel so much better.",0.9017012715339661,1
sonicdrivein_339,"this is the moment we finally get to use our new, and i was so excited.",0.657766580581665,1
sonicdrivein_2095,i'm not gonna do it.,0.8351479172706604,1
sonicdrivein_1084,we’ re not done! we are about to sonic the jimmy.,0.060425665229558945,0
sonicdrivein_1854,this is what it looks like when ur gonna get your.,0.8243392109870911,1
sonicdrivein_789,"a 30-year old man who works at the food court, a 25 year woman and their dog are in an uproar.",0.10284765064716339,0
sonicdrivein_89,it’ s # doggertuesday so we hope you can have a good one.,0.6067027449607849,1
sonicdrivein_2189,"a new wave of smartphones, and we have to make sure they can keep up with the latest trends.",0.2973194420337677,0
sonicdrivein_69,"dude, you know what i do? we’ re going to be selling these shoes.",0.42353034019470215,0
sonicdrivein_470,"do you want to try a new flavor? we’ ll give it the, and then i will be here for them.",0.04354170337319374,0
sonicdrivein_2185,"the first time i tried this, it was just a little something.",0.8223747611045837,1
sonicdrivein_1737,"i'm not sure if this is the best thing to do with a whale, but i think it’ s about time we start calling our own.",0.25252288579940796,0
sonicdrivein_2078,"the first thing i did was to take a picture of my food and drink, but it is going out on the 20th.",0.6232175230979919,1
sonicdrivein_311,"it's not about the date, it is all of us.",0.5267407298088074,1
sonicdrivein_952,the only way to make it is by changing the.,0.4638271927833557,0
sonicdrivein_1254,"the first person to sign up for the course is my friend, and i'm going t be in it too.",0.1575746089220047,0
sonicdrivein_1623,"so i'm gonna try and make a dinner for my mom on sunday, but the only thing that looks good is an taco bell margarita.",0.1268792599439621,0
sonicdrivein_1471,when you ask your dog to be a human and they say no.,0.5977769494056702,1
sonicdrivein_196,it’ s not a surprise that we're going to get into this.,0.9821074604988098,1
sonicdrivein_1102,"the guy who's got a ton of ice in his mouth, and the car is on fire.",0.7408351302146912,1
sonicdrivein_414,"when you see the smoke coming out of his mouth, just know that it’ s not a ghost.",0.8622709512710571,1
sonicdrivein_556,"it's not like you can just buy a unit and it will come with the warranty, but we do n’t know if that is possible.",0.1170976385474205,0
sonicdrivein_1221,i'm gonna ask you to go home.,0.32559704780578613,0
sonicdrivein_1778,"it’ s a new year, so let's celebrate by drinking water.",0.14057254791259766,0
sonicdrivein_1367,"it's not a trick, it’ s just what i need to do.",0.6572020053863525,1
sonicdrivein_743,"it’ s 10:35 am and i was trying to get some sleep, but the entire town is abuzz with a mumps outbreak.",0.5011546015739441,1
sonicdrivein_543,"it’ s my first drive-in, but i'm so hungry that we just had to stop at a fast food restaurant.",0.5120438933372498,1
sonicdrivein_1996,"in the first episode of your show, you’ ll be making a ton more fun with kids.",0.3345702588558197,0
sonicdrivein_491,fucked like a boomerang.,0.6502584218978882,1
sonicdrivein_655,a christmas present that's worth more than a dozen lattes.,0.9196779727935791,1
sonicdrivein_791,"it’ s a, it was so close! 🎉🎈🍰 🍀 🥤🥦🥧🌱 🌲 💕🔥.",0.05473645031452179,0
sonicdrivein_1666,"we're going to have a bunch of things, so we’ re gonna need this.",0.5211972594261169,1
