image_id,caption,human_ins,human_related,overfit,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,human_humor,humor,benign,b_clip,b_bita,f_bita,f_clip
sonicdrivein_1209,the one i’ m going to talk about today is a little something.,0,0,0,2,1,0.80714065,0.45879844,0.0897916120220883,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308,0.6114653944969177,0,0,-8.617483,-0.0009827552,-7.1797647,0.97398055,0.7712325
sonicdrivein_866,it’ s a new song.,0,0,0,0,1,0.9779182,0.45879844,0.0,0.0,0.0,0.0,0.7118660807609558,0,1,-8.855477,-0.0010562324,-9.177912,0.97469556,0.698882
sonicdrivein_80,"i’m not a, i am.",0,0,-1,0,1,0.8075063,0.45879844,0.0,0.0,0.0,0.0,0.9954238533973694,0,1,-7.8860946,-9.004858,-8.673104,0.96546,0.9223454
sonicdrivein_1566,the burger emoji is a food image that can be used for anything.,1,1,2,0,1,0.90775555,0.45879844,0.0,0.0,0.0,0.0,0.5526639223098755,1,0,-0.0009102254,-8.55507,-0.0018304513,0.9715433,0.9438616
sonicdrivein_1435,i’ m going to try out the new mic and i hope it works.,0,0,-1,3,1,0.9753102,0.45879844,0.1126688623769527,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.5017068386077881,0,0,-6.4038067,-9.66843,-8.785961,0.90876174,0.9158541
sonicdrivein_2185,we all know that this is the best thing to do in 2019.,1,1,2,2,1,0.9797921,0.45879844,0.0831435379210052,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.5781470537185669,1,0,-8.173006,-0.00069987116,-2.960812,0.94790196,0.88304466
sonicdrivein_283,"a little bit of a, just like you’ re going to eat it.",0,0,-1,1,1,0.8684381,0.45879844,0.0769230769230769,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.528834879398346,0,0,-8.395908,-0.00016378015,-7.9436107,0.97627175,0.80842483
sonicdrivein_1452,"i’ m just going to say, “ the only way i can get a job is if you have this.",1,1,2,2,1,0.96947,0.45879844,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5982113480567932,1,0,-8.586439,-8.03913,-8.927256,0.9689326,0.9818486
sonicdrivein_470,the one i was thinking about.,0,1,2,1,1,0.95541185,0.45879844,0.1010884432854389,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.5729233026504517,1,0,-9.29924,-8.679799,-9.056454,0.95977324,0.9592779
sonicdrivein_952,the sonic tonics are the only way to keep your smile bright and fresh.,1,0,2,4,1,0.9657607,0.45879844,0.0202907959325448,2.106930914564517e-309,2.106930914564517e-309,2.106930914564517e-309,0.5579577684402466,1,0,-8.612618,-8.863529,-6.6759233,0.98299855,0.9331194
sonicdrivein_1765,"for # shakespeare’ s birthday, we were thinking of a lil bit more serious.",1,1,2,1,1,0.5744604,0.45879844,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.0546285510063171,1,0,-7.770624,-8.974885,-8.615779,0.96146137,0.97300017
sonicdrivein_1755,"this is the perfect recipe for a healthy, delicious and satisfying breakfast.",0,1,2,3,1,0.9715547,0.45879844,0.0999624135862118,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309,0.5311063528060913,1,0,-8.931434,-7.7686515,-8.605178,0.9735246,0.97124016
sonicdrivein_2168,"you know, we’ re going to be the best thing since sliced bread.",0,1,2,1,1,0.8696679,0.45879844,0.0415717689605026,1.2025033327569346e-308,1.2025033327569346e-308,1.2025033327569346e-308,0.7171481847763062,1,1,-9.44861,-6.33964,-8.52523,0.9766898,0.4715288
sonicdrivein_788,"it's not just the smell of a dog’ s breath mint, it is so much better! and we can hear your voice on our app.",0,0,-1,1,1,0.9407813,0.45879844,0.04,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0153163475915789,0,0,-9.201958,-7.8803105,-8.907169,0.78702,0.979714
sonicdrivein_1077,"and you? :m and that’s a question we have to ask ourselves every day! it seems like everyone has their own little unicorn in the app store, so why not mine?!#youallhaveyourunicorns@thejokefactory 🤩🤪😊👌🏻🦄🙏🏽🌈😂🐾💕",0,0,-1,2,1,0.82813454,0.45879844,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.2032389938831329,0,0,-0.0006400682,-9.289899,-8.886791,0.9597331,0.73712695
sonicdrivein_655,"when you’ re about to make a decision, just say this.",0,1,2,1,1,0.97748905,0.45879844,0.0909090909090909,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9552592039108276,1,1,-8.909285,-6.121105,-7.5527225,0.93398595,0.92557496
sonicdrivein_2181,"when i was 16 and my mom told me to go get a dog, he said.",1,1,2,2,1,0.96304506,0.45879844,0.125,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.5227832198143005,1,0,-0.0009155849,-6.1025996,-1.0424052,0.86411864,0.97704846
sonicdrivein_454,"you know, i’ m not going to be able t do this.",0,1,2,0,1,0.97650766,0.45879844,0.0,0.0,0.0,0.0,0.7600175738334656,1,1,-8.5159235,-0.049627073,-8.649438,0.9073134,0.5349525
sonicdrivein_529,"for the first time in 3 years, we got this.",0,1,2,0,1,0.96257454,0.45879844,0.0,0.0,0.0,0.0,0.9288323521614076,1,1,-8.627741,-9.546262,-7.1935744,0.9751595,0.97928876
