image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1943,"she’ s a drinker, and she’ s a girl.",1,1,0.9438799,0.47601494,0.03273053647890081,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309
sonicdrivein_2192,"it’ s fallin for a cheeseburger , and it’ s all for a limited edition tumbler ! 🍔# getawaywithit# somethingscookin# march5 📷:@ sonicwagner 📷:@ sonicwagner 📷:@ sonic",0,1,0.70800304,0.47601494,0.0,0.0,0.0,0.0
sonicdrivein_1473,# summertime# summertime# moody# moodycookbook# dinnertime# dinnertime# sonicbreakfast# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrive,0,1,0.8639748,0.47601494,0.0,0.0,0.0,0.0
sonicdrivein_1570,it’ s a birthday present for me.,0,1,0.97508174,0.47601494,0.0,0.0,0.0,0.0
sonicdrivein_999,"when you told your friends you were afraid to eat chips, you probably weren't afraid to tell them.",2,1,0.97692674,0.47601494,0.018288499322661415,7.32478711575271e-309,7.32478711575271e-309,7.32478711575271e-309
sonicdrivein_1770,we’ ve got a thing going.,0,1,0.97459817,0.47601494,0.0,0.0,0.0,0.0
sonicdrivein_1252,we need to get the app on our calendars so we can get the# skiapp# snowshoes# getawaywithit# somethingscookin# march5 📷:@ nicolerichie 📷:@ jnr.,4,1,0.8029401,0.47601494,0.13043478260869565,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2191,and they’ re the same person.,0,1,0.9425633,0.47601494,0.0,0.0,0.0,0.0
sonicdrivein_1816,you’ re the one who says you’ re the one who says you’ ll never be afraid to use your sonic weapon.,2,1,0.97785884,0.47601494,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1109,"chases the smell of coke and i’ ve got no need for a good stick of coke 😌# getawaywithit# somethingscookin# march5 📷:@ frankie__sandy

# getawaywithit# somethingscookin# march5 📷",3,1,0.7428531,0.47601494,0.10714285714285714,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1745,the tag@ tahrithebengalley and@ slush# mugshotdrinkremix# icecream# reba# mugshot# reba_popcorn# sonicdrinkremix# sonicdrinkremix_ national# sonicdrinkremix ''# blackoutdrink ''# blackoutdrink,1,1,0.76660526,0.47601494,0.047026762493922986,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308
sonicdrivein_782,"when the sonic jungle is gone, we’ re going to sonic jungle.",3,1,0.91495544,0.47601494,0.23001110365733082,2.0471667756573244e-308,2.0471667756573244e-308,2.0471667756573244e-308
sonicdrivein_968,we’ ve got a new sonic drink coming.,2,1,0.9594424,0.47601494,0.22062422564614886,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_1623,"a halloween exclusive exclusive, all-new sonic box this halloween, all-new sonic box this halloween.",2,1,0.7534199,0.47601494,0.03755628745898426,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308
