image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_532,we know where dogs eat their food.,1,1,0.9597275,0.44375405,0.0125946699089082,1.96168495395878e-309,1.96168495395878e-309,1.96168495395878e-309,0.3318071961402893,0
sonicdrivein_196,"a new emoji that looks like a tiny house with 3 doors and one little door to the other side!
< /pre> if you’ re not ready for it, just say something else.",1,1,0.96359247,0.44375405,0.0303030303030303,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8612471222877502,1
sonicdrivein_556,"we're going to have a special holiday this month, and we are about to get our first taste of the world.",3,1,0.97114897,0.44375405,0.1180807768034625,1.8391691476033075e-308,1.8391691476033075e-308,1.8391691476033075e-308,0.1239945143461227,0
sonicdrivein_1566,this is the last emoji you’ ll see on instagram before it goes away forever.,2,1,0.9747319,0.44375405,0.116689775872393,1.9473252738654987e-308,1.9473252738654987e-308,1.9473252738654987e-308,0.2622101604938507,0
sonicdrivein_2095,i'm not gonna lie.,0,1,0.977461,0.44375405,0.0,0.0,0.0,0.0,0.8207986354827881,1
sonicdrivein_2189,a couple of the times we had to put our phones away and just watch it.,1,1,0.93430763,0.44375405,0.0625,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.8128901720046997,1
sonicdrivein_1778,you can find the next world’ s version of a “ swedish drink” in this post.,2,1,0.74179184,0.44375405,0.0758163324640791,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308,0.0394579544663429,0
sonicdrivein_926,"do you think this is the best way to make an offer? </s>
#1 pic of the day.",0,1,0.97237587,0.44375405,0.0,0.0,0.0,0.0,0.0274250339716672,0
sonicdrivein_2052,the day i got a taste of the dream.,0,1,0.9530643,0.44375405,0.0,0.0,0.0,0.0,0.6647430658340454,1
sonicdrivein_204,but i’ m not sure if this is the most important thing in ur mind or just how much u like them.,1,1,0.95454085,0.44375405,0.0454545454545454,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3966176509857178,0
sonicdrivein_1084,we’ re going to do a little something.,1,1,0.97824985,0.44375405,0.0521077524598135,9.27548782591189e-309,9.27548782591189e-309,9.27548782591189e-309,0.569109320640564,1
