image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_2014,"in 2019, there will be at least one pair of shoes like this.",0,1,0.97447306,0.36772668,0.0,0.0,0.0,0.0
sonicdrivein_1091,"it's not about the food, it’ s how you make money out of that.",0,1,0.9708759,0.36772668,0.0,0.0,0.0,0.0
sonicdrivein_1236,"have you ever heard of this? the guy who’ s 30 years old, has a white t-shirt with his name printed on it and he can be found at almost every taco truck in new orleans.",3,1,0.90040725,0.36772668,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1863,it's about time we start talking to each other.,0,1,0.9760523,0.36772668,0.0,0.0,0.0,0.0
sonicdrivein_896,what are you doing with 10 minutes left in the day? 🤔🤓🤦‍♂️💪🏽🧘 🛑👨🏻🎤🥳🍰 🍲 🥇🥗🥚🥜🥬🥭🌞 🌟⏕📷 📸 📺 📹 📱,2,1,0.9256019,0.36772668,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2100,"it's like, you know what i’ m talking about.",0,1,0.85964733,0.36772668,0.0,0.0,0.0,0.0
sonicdrivein_877,"it's your first day of school, so make the most out of it! what are you going to do today? get in touch with me.",2,1,0.98116803,0.36772668,0.07999999999999999,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1028,"you mightn't realize it, but there ’ s a good chance you can get something to eat with your post-workout snack.",0,1,0.97433543,0.36772668,0.0,0.0,0.0,0.0
sonicdrivein_1098,"i'm not sure if this is what i meant to say, but let me know when it comes out.",1,1,0.97292536,0.36772668,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_567,there's an app out there for just about anything you can think of.,1,1,0.9729724,0.36772668,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1309,it's been a long time since i’ve had ice cream.,1,1,0.9846069,0.36772668,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
