image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1081,a lot of things are a to do with your's kids.,2,1,0.24729317,0.42572406,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1491,i’ m gonna have a birthday party for my sister today.,1,1,0.9821276,0.42572406,0.052688934434982675,1.289604477082714e-308,1.289604477082714e-308,1.289604477082714e-308
sonicdrivein_1649,the first one is the '' best buy in this store.,5,1,0.60157603,0.42572406,0.002450162545121988,1.49924297276724e-310,1.49924297276724e-310,1.49924297276724e-310
sonicdrivein_1505,you’ re going to be able for your first ever pizza order if you buy this combo meal.,3,1,0.96512955,0.42572406,0.01909314066544796,2.54901889028941e-309,2.54901889028941e-309,2.54901889028941e-309
sonicdrivein_759,"it’ s a weird thing to think about, but it's the only time of year i can eat my favorite pizza.",2,1,0.9515838,0.42572406,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_997,when you’ ve got the grill open for 20 minutes and it still smells like bbq! just give me a call.,4,1,0.9711382,0.42572406,0.05791932024473015,6.765925182400625e-309,6.765925182400625e-309,6.765925182400625e-309
sonicdrivein_1693,"don't have a, but if you do this for me it would be the best ice cream ever.",3,1,0.86052775,0.42572406,0.16666666666666669,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1368,#10thingsyouneedtosowrongathome: '' wash your hands with soap and water for at least twenty seconds.,0,1,0.883957,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_1223,we don’ t have to go out of our way.,2,1,0.9746996,0.42572406,0.014854715642866776,1.65264197262509e-309,1.65264197262509e-309,1.65264197262509e-309
sonicdrivein_927,it's a new and different experience.,1,1,0.941018,0.42572406,0.013680833103983134,1.826451846136416e-309,1.826451846136416e-309,1.826451846136416e-309
sonicdrivein_1973,this is what i call the '' to-do app for cats.,1,1,0.94728076,0.42572406,0.04392955283543867,1.07521149593053e-308,1.07521149593053e-308,1.07521149593053e-308
sonicdrivein_1411,we’ re not going to be in the office today.,2,1,0.979859,0.42572406,0.06657421673961592,7.4066274658958e-309,7.4066274658958e-309,7.4066274658958e-309
sonicdrivein_1888,"a time to eat, a 't not be it.",0,1,0.34332362,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_768,"you know, i’ m not sure if you like it or hate it.",0,1,0.977187,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_848,"when you open your mouth for a drink, it s not just water but the sweet strawberry lemonade that's been waiting in there all along# happy monday!
; let me guess this is what u want? 🤔🤓😅😂 😂💕🥤🍒☀️🌸👀🧑🏾🎉🍇 �",5,1,0.9521327,0.42572406,0.1282051282051282,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1459,"a: you don't know what it is, but i do.",1,1,0.97760665,0.42572406,0.05488116360940265,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
sonicdrivein_1882,the best thing about this season is the snow.,0,1,0.9792644,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_1210,the best part about this trip is the'who will make it to our destination! i know you all got a lot of questions.,4,1,0.8995211,0.42572406,0.1594290351348672,2.039762925602366e-308,2.039762925602366e-308,2.039762925602366e-308
sonicdrivein_666,"why do we need to have a mic? '' tweet this!
.",1,1,0.53316575,0.42572406,0.003231183985976834,8.6275476230692e-310,8.6275476230692e-310,8.6275476230692e-310
sonicdrivein_1444,and the burger is 20.,2,1,0.84480125,0.42572406,0.016304881591346486,9.06989144874033e-310,9.06989144874033e-310,9.06989144874033e-310
sonicdrivein_1375,why do i keep getting asked to be the cashier? because you’ re a millennial.,1,1,0.9568805,0.42572406,0.0583448879361965,1.9473252738654987e-308,1.9473252738654987e-308,1.9473252738654987e-308
sonicdrivein_697,we're going to have a sushi party! we’ re looking for your help.,0,1,0.9795393,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_1439,"a new set of, a short but powerful and satisfying sonic assault for the dog that loves to chase down your door.",3,1,0.24646774,0.42572406,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_485,just because it’ s summer and we can not go out to eat ice cream or have a picnic doesn' t mean that the kids will n # stay home with us.,2,1,0.94848037,0.42572406,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_847,a lot of people have told me they’ re not going to eat this sandwich.,1,1,0.98598355,0.42572406,0.02621604805790655,8.749896481052693e-309,8.749896481052693e-309,8.749896481052693e-309
sonicdrivein_1708,i 'll be the best at this season! and i will definitely get a little bit of ice in my sauce.,0,1,0.95921624,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_1457,"when i was a kid, my mom would make me eat this much food.",1,1,0.9512287,0.42572406,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_408,we all know what it feels like to be hungry.,1,1,0.9825798,0.42572406,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1929,i'm not gonna eat it.,0,1,0.97301733,0.42572406,0.0,0.0,0.0,0.0
sonicdrivein_1627,"10 years ago we were thinking about getting a puppy but now it’ s all i can think of is, how many dogs are there? 🤔# doggygizmo= people say this! 🔥💕😀🤣🏻👨🏽‍♂️🐶
• 🧐 the only thing that matters in life or",3,1,0.9268679,0.42572406,0.07317073170731705,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1068,"a, a little something for everyone.",1,1,0.62809986,0.42572406,0.0613132401952404,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
sonicdrivein_1773,"this is the mic we used to play our latest single "" a little bit of ice cream.",4,1,0.9440874,0.42572406,0.15062435066787785,1.508176373065767e-308,1.508176373065767e-308,1.508176373065767e-308
sonicdrivein_1607,it's like the best ice cream flavor in a restaurant! and it comes with your order.,2,1,0.927543,0.42572406,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_1809,"in 2019, the world’ s first ever personal delivery service was launched.",1,1,0.96067905,0.42572406,0.0029728327789377007,7.93772700255334e-310,7.93772700255334e-310,7.93772700255334e-310
