image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
mcdonalds_switzerland_828,"yes, we have it for you... our chocolate caramel cheese and chocolate sundae are now available in our restaurants.",0,1,0.9644406,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1883,"if you've seen this before, you've seen it before! if you've seen this before, you've seen it before!# # # # # # # # # # # # # # # # # # # # ",2,1,0.91922295,0.49165207,0.02702702702702703,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_73,"today we get a little bit of winter in our room, let's go shopping! 🛍️ get in touch with our last week deals in the mcdonald's app to get a little bit of winter in your life! ➡ get in touch with our last week deals in the mcdonald's app to get a little bit",7,1,0.83485746,0.49165207,0.05454545454545455,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_735,i 'll be the first to tell you that i'm proud to be an i'm the first to say that i'm the first to say that i'm the first to say that i'm the first to say that i'm the first to say that i'm the first to say that i,7,1,0.8968857,0.49165207,0.0196078431372549,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1656,this is a big deal for our compatriot.,0,1,0.98074156,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_27,"what are you reading right now that' s going to make you read this word over and over again?!* this is why people are reading this word over and over again!""
### Questions and Detailed Answers

#### Question 1: What is the significance of the phrase ""you are reading this word over and over again"" in the context of the extract?",6,1,0.9580261,0.49165207,0.03278688524590164,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_6,"choosing mcdonald's mcdelivery as your... mcdonald's mcdelivery, mcdonald's mcdelivery, mcdonald's mcdelivery, mcdonald's mcdelivery... mcdonald's mcdel",0,1,0.8613927,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_60,congratulations@remi_yerkes for winning the contest and showing your amazing skills! can you think of a way to get his congrats as a thank you gift with your own quote? </s> </s> </s> </s> </s> </s> </s> </s> </,1,1,0.9345512,0.49165207,0.026315789473684213,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_165,the older you get the more you 'd want to take advantage of your children's# magic# club! </s> </p> </p> </p> </p> </p> </p> </p> </p> </p> </p> </p>,3,1,0.9549767,0.49165207,0.06896551724137931,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_201,"wait, i'm sure you've heard this one before.",1,1,0.946758,0.49165207,0.08591115984887154,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
mcdonalds_switzerland_712,"savor the joy of mcdonald’ s: &mdash; in terms of color, size, and taste, it’ s always the same, but now you can enjoy it more than ever before! in terms of color, size, and taste, it’ s always the same, but now you can enjoy it more than ever before! in terms",2,1,0.9172841,0.49165207,0.018867924528301883,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_81,"the more you love, the more you want to share </s> all our favorite bacon mcdonald’ s </p> and i'm so excited! </s> </s> </s> </s> </s> </s> </s> </s> </s>",4,1,0.9298267,0.49165207,0.09677419354838708,0.03333333333333333,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_683," you have to choose between i have a little hunger and i have a full belly 🍔, but i’ m sure you can’t resist one of our products → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → → →",2,1,0.91768146,0.49165207,0.0144927536231884,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_293,ready for the winter: we’ re releasing a new the running track for the winter season: </s> </s> </s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s,3,1,0.90815514,0.49165207,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_586,today is the day for a big thank you to@ switzerland for your amazing marketing campaig.,1,1,0.6473119,0.49165207,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_730,how do you feel about this new book? 1 hour of reading per day? @ i_m_m@ i_m_m_i_m_m_i_m_m_i_m_m_i_m_m_i_m_m_i_m_m_i_m_m_i,0,1,0.9513672,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_691,it was the start of the new year... and i'm sure many of you will be excited to start the next one.,2,1,0.9598632,0.49165207,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_330,what's for eat? we aren 't even sure we can eat like this! </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </,0,1,0.8963103,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_596,but we also like a little something else </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s </s,0,1,0.86147505,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_2031,artiest person in the world... and she's having a great time! 💜# dhas# food# foodstagrammer# foodie# diah1# diah2# diah3# diah4# diah5# diah6# diah7# diah8# diah9# diah10,0,1,0.87386477,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1197,thank you for your tasty food?@ mcdonald’ s on the way!# menubuffet# mcdonalds# tasty# food?# v2@ mcdonald’ s# london# mcdonald’ s# london# london# london# london# london# london# london# london# london# london# london#,0,1,0.8952397,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_2026,a perfect way to end the year for everyone@ switzerland# mcdonald's# mcdonalds# zürich# mcdalia# zürich# zürich# food# food# food# food# food# food# food# food# food# food# food# food# food# food# food,1,1,0.8937677,0.49165207,0.03225806451612903,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_713,we are so proud of you! would you take a bite of it? it mcdonald's - are you ready to show it off? are you up for the challenge? - we are so proud of you! it mcdonald's - are you ready to show it off? it mcdonald ',1,1,0.7919938,0.49165207,0.020408163265306117,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_716,you have to do it again and again.,0,1,0.97254,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_7,"imagine you order coffee with us, but you make a mistake and get the wrong one.",3,1,0.8630031,0.49165207,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_2035,so i’ ll tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m going to tell you that i’ m,0,1,0.967612,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_122,"will be 11:00-11:30 mcdonald's, we're 11:00-11:30 mcdonald's, we're 11:00-11:30 mcdonald's, we're",0,1,0.6870364,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_222,chocolaty and delicious! </s> that's what we're talking about! </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>,0,1,0.9524922,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1215,"which one are you? the one with the crispy chicken, the one with the delicious chicken salad, or the one with the delicious chicken salad? :)! just like the chicken salad, the mcdonald’ s menu is all about the little things that make a big difference! :)!!!!!!!",5,1,0.93357635,0.49165207,0.06382978723404255,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_768,"something said by lots of people, but not many of them would do it: 🍔 @ mcdonalds: would you do it? # mcdonalds: the answer is yes! thank you @@@@@@@@@@@@@@@@@@@@@@@@@@@@@",1,1,0.89776045,0.49165207,0.03333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_682,“ mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the mcdonalds in the m,0,1,0.4583415,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1934,you can find your favorite foods all over the world now! # # # mcdonald’ s # # # # # # # # # # # # # # # # # # # # # # # # #,2,1,0.91365504,0.49165207,0.048780487804878044,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_411,"so, i've been there... so, i've been there... so... i've been there....",0,1,0.8915971,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_230,that’ s when you know you're having a ^ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,2,1,0.93314075,0.49165207,0.05128205128205127,0.026315789473684213,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_902,"you've reached the end of the year! to celebrate, we're giving away 10 mcdonald's t-shirts to those who participate in the below challenges!# mcdonalds# goodluck# goodnight# 2020# # # # # # # #",4,1,0.9198704,0.49165207,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_769,the big game is out today... what do you think about it? </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s,1,1,0.9690313,0.49165207,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_59,"if you're looking for a, </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>",0,1,0.9531203,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_153,swimming? or 🍔? that's it for everyone? 🤔# 🏊‍♀️# ☀️# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔# 🍔,1,1,0.82377696,0.49165207,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_180,"you know, you mcdonald's as well as i do.",0,1,0.5403598,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_676,you still have time to act! mcdonald's wants you to try our big mac and that new version of your favorite mccafé brand.,0,1,0.94380045,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1886,you've found a triangular shaped candy that you've always wanted to try! :)# # # # # # # # # # # # # # # # # # # # # # # # # # #,0,1,0.8959009,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1132,its time for the return of the's mcdonald's mcdonald's mcdonald's mcdonald's mcdonald's mcdonald's mcdonald's mcdonald's mcdonald's m,0,1,0.46621934,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_859,"now you know, where to buy your favorite chocolate! </s> # blablabla # mcdonalds# mcdonalds# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss# bliss#",1,1,0.90841997,0.49165207,0.02777777777777778,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1842,"it was the season of the olympic games in 2016, where the two cities competed against each other to host the event.",0,1,0.75045997,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1203,❤ love is in the air </s /> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s,0,1,0.95327127,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_714,the one with the least amount of sugar! 🧀 makes the most delicious taste! 🥂 share it with your friends! 🥳# mcdo# tasty# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade# tastyhomemade#,1,1,0.94676846,0.49165207,0.030303030303030304,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_360,let's take a bite! which of these is your favorite? even if it's a small one </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </,0,1,0.95032007,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_654,wow! that is a brilliant idea! who's the key? </s> </s> </s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s,2,1,0.9449869,0.49165207,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_662,"it’ s mcdonald's day! go for a burger, but not everyone can eat it like this 😱? # mcdonalds # foodmonday.",0,1,0.9186784,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1,"and today we have the most amazing mcdonald's mcdelivery in the car... and it's only available for today in the car, the mcdonald's mcdelivery in the car is today only available in the car, the mcdonald's mcdelivery in the car",2,1,0.5714864,0.49165207,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_273,# mcdonald's # # mcdonald's swiss cheese with ham and cheese have been added to your mcdonald's app.,0,1,0.91693205,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_721,we are about to celebrate 10th season of our show 🍔 🍟; who is going to be our new show star? 🦸? 🤔 which one do you think we will choose? 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 🤔 �,1,1,0.9230072,0.49165207,0.021276595744680854,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_699,"a few years ago, the mcdo chicken mcdonald's did not exist yet, but now it’ s as delicious as it gets! 🥰 do you love it as much as i do? ❤ 🤤 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 🥳 �",1,1,0.9178296,0.49165207,0.021276595744680854,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_118,i’ m so excited to i’ m going to try i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’ m thinking of i’,0,1,0.54684836,0.49165207,0.0,0.0,0.0,0.0
mcdonalds_switzerland_2039,s's not even thinking about </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s,0,1,0.74960786,0.49165207,0.0,0.0,0.0,0.0
