image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
imgflip_402,i'm not a racist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i'm a white supremacist; i,1,1,0.94992393,0.31688136,0.022222222222222227,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_544,i don't like to live dangerously; but i'm not a terrorist.,1,1,0.97375643,0.31688136,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_827,the number of people who think the earth is flat is too damn high; to be a good number.,5,1,0.8340828,0.31688136,0.21052631578947367,0.11111111111111109,0.0588235294117647,2.2250738585072626e-308
imgflip_1294,me: *sigh*; my mom: *sigh*; me: *sigh*; my mom: *sigh*; me: *sigh*; my mom: *sigh*; my mom: *sigh*; my mom: *sigh*; my mom: *sigh,0,1,0.65619427,0.31688136,0.0,0.0,0.0,0.0
imgflip_353,when you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and you get a meme; and,0,1,0.91404325,0.31688136,0.0,0.0,0.0,0.0
imgflip_1026,me; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad; my mom; my dad,0,1,0.85480046,0.31688136,0.0,0.0,0.0,0.0
imgflip_1388,me: *gets up and goes to sleep*; my mom: *gets up and goes to sleep*; me: *gets up and goes to sleep*; mom: *gets up and goes to sleep*; me: *gets up and goes to sleep*; mom: *gets up and goes to sleep*;,0,1,0.80029154,0.31688136,0.0,0.0,0.0,0.0
imgflip_788,i'm the only one around here who thinks the internet is a place where people can post memes without being seen; and i'm the only one around here who thinks the internet is a place where people can post memes without being seen; and i'm the only one around here who thinks the internet is a place where people can post memes,6,1,0.9702746,0.31688136,0.016129032258064516,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_748,me: *gets a new meme*; my mom: *gets a new meme*; me: *gets a new meme*; my mom: *gets a new meme*; me: *gets a new meme*; my mom: *gets a new meme*; my mom: *gets a new meme*;,0,1,0.8765763,0.31688136,0.0,0.0,0.0,0.0
imgflip_776,i'm going to make a meme about the new covid-19 virus; i'm going to make a meme about the new covid-19 virus; i'm going to make a meme about the new covid-19 virus; i'm going to make a meme about the new covid-19 virus; i'm going,4,1,0.96379185,0.31688136,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_523,when you realize; that you have to go to school; and you have to go to school; and you have to go to school; and you have to go to school; and you have to go to school; and you have to go to school; and you have to go to school; and you have to go to school,0,1,0.88457346,0.31688136,0.0,0.0,0.0,0.0
imgflip_690,if you could stop making memes about the same thing over and over again; that would be great.,1,1,0.9660688,0.31688136,0.044485411273155986,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308
imgflip_659,when you're in a bar and you hear a noise; and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise and you hear a noise,26,1,0.91774833,0.31688136,0.1076923076923077,0.015625000000000007,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_864,the amount of people who think the internet is a place for free speech is too damn high.,0,1,0.9825941,0.31688136,0.0,0.0,0.0,0.0
imgflip_573,when you get a meme; and it's not upvoted; but it's upvoted and it's upvoted and it's upvoted and it's upvoted and it's upvoted and it's upvoted and it's upvoted and it's upvoted and it's upv,1,1,0.802164,0.31688136,0.02777777777777778,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_829,i'm gonna make a meme about the coronavirus; and i'm gonna make it a meme about the coronavirus; and i'm gonna make it a meme about the coronavirus; and i'm gonna make it a meme about the coronavirus; and i'm gonna make it a meme about the coronavirus,0,1,0.95856625,0.31688136,0.0,0.0,0.0,0.0
