image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1728,the new 2018 winter is here! and it’ s still cold.,0,1,0.9384267,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1213,all of you have been asking for this.,0,1,0.9718721,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1981,"the # bestsyamper is coming up! the one with big lips, extra large ears and a small nose.",4,1,0.7392483,0.42531604,0.15765991148446093,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308
sonicdrivein_1492,when you order a $1.,3,1,0.8829844,0.42531604,0.029872241020718365,0.024893534183931972,0.016595689455954646,1.10779904317048e-309
sonicdrivein_1789,you know what i love to do? you want a puppy.,2,1,0.9817131,0.42531604,0.03662639286628481,8.964607222800593e-309,8.964607222800593e-309,8.964607222800593e-309
sonicdrivein_596,"yes, i do it everyday.",1,1,0.97054684,0.42531604,0.13406400920712788,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_571,i love this.,0,1,0.9783351,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_546,me: '' i just want to get my feet wet.,0,1,0.7621159,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_575,"we know what you’ re thinking about this, so we're going to make it happen.",2,1,0.9696593,0.42531604,0.08937600613808525,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_1916,"com, you’ re my new friend! i'm your first post.",0,1,0.8332852,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_2022,@ # sammys: i think it is a good idea to make this into an app.,2,1,0.96677786,0.42531604,0.09735009788392564,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308
sonicdrivein_1469,the only thing i can think of when you’ re at a restaurant is that it smells like salmon.,2,1,0.9809559,0.42531604,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1497,"the only thing i can say about this post is that it’ s the best you've ever seen! and if we could have a real-life unicorn in our house, well then let us know.",4,1,0.9329548,0.42531604,0.08823529411764706,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_865,and i think it’ s a good idea to have this conversation with the people who are going for you.,1,1,0.9753125,0.42531604,0.027440581804701325,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
sonicdrivein_1931,from the best part of your day: get a shot at this new iphone 3g.,3,1,0.96250594,0.42531604,0.1026834238065184,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308
sonicdrivein_1816,"what’ s the difference between a one-time purchase and an annual subscription? </s> we have it! 👍👌👆
• what is that thing on your head called?????? 🦴🧠🤔 🤣😭😂 😂 😅 😍🙂 🙄🥳💕🎉🏼♫�",1,1,0.9060517,0.42531604,0.03125,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2144,it’ s not a bad idea to get your feet in the car and go for it.,5,1,0.97757244,0.42531604,0.23245245970044065,1.7585612308455557e-308,1.7585612308455557e-308,1.7585612308455557e-308
sonicdrivein_272,and.,0,1,0.771777,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_2225,it's our turn!# @ katybikayetuesday& quot; let me get you some free ice cream.,0,1,0.925681,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_750,we can’ t get our feet in the door at a fast food restaurant.,4,1,0.9698001,0.42531604,0.07898658475130411,6.15128447160133e-309,6.15128447160133e-309,6.15128447160133e-309
sonicdrivein_2091,and i think it' s a good thing to do.,1,1,0.9764632,0.42531604,0.04965853037914096,1.104938977985153e-308,1.104938977985153e-308,1.104938977985153e-308
sonicdrivein_732,"a 30-second video that includes the entire list of your favorite recipes! just in case you forget it, here’ s a quick rundown: chicken and cheese quesadilla with cheddar sauce; buffalo wings on top of grilled corn dogs topped with sour cream.",0,1,0.96071625,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_2182,a party! '' a friend in the corner who is always there for you.,2,1,0.9218674,0.42531604,0.0999532196250186,1.556823072428848e-308,1.556823072428848e-308,1.556823072428848e-308
sonicdrivein_1144,the best thing about this is that you can order it in 30 minutes.,1,1,0.97460186,0.42531604,0.05367694950537755,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308
sonicdrivein_478,the top 10 most popular instagram stories of the year! ✅ 👍# i love to share my life with you all.,1,1,0.96257716,0.42531604,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_369,the people who make it easy for you to forget what they were there just because we're the only ones that get a free cheese sandwich.,0,1,0.9491019,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1030,why do you think i'm so hungry? just to get a drink from this place.,0,1,0.96618515,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1123,"for the # happyhalloween, here’ s a list of my favorite foods:
i love ice cream.",1,1,0.94795966,0.42531604,0.055156056411537216,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_457,the best way to get your feet wet in the summer is by wearing a red and white striped shorts.,0,1,0.97952133,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1150,you're not the only one who can’ t eat this! i love it.,1,1,0.977793,0.42531604,0.016516244026284408,4.777482167069583e-309,4.777482167069583e-309,4.777482167069583e-309
sonicdrivein_955,a 30-pound steak with a side of mashed potatoes and some sauce.,0,1,0.95962596,0.42531604,0.0,0.0,0.0,0.0
sonicdrivein_1091,what’ s your favorite thing to do on a hot day?# the only way i can cool it off is with ice cream.,2,1,0.97716296,0.42531604,0.08695652173913045,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1817,a few things to do with your mind.,2,1,0.9488736,0.42531604,0.055782540037107455,4.9648108639081e-309,4.9648108639081e-309,4.9648108639081e-309
sonicdrivein_1369,this is the # 1 most popular food in our house.,1,1,0.967096,0.42531604,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1640,"and i said, "" yeah! you know what? it’s time to get out of the house.",3,1,0.95469725,0.42531604,0.10036151784731068,1.190996212064859e-308,1.190996212064859e-308,1.190996212064859e-308
sonicdrivein_1870,"the first ever "" get your money now” campaign is here! 👉👈# getyourmoneynow pic.",1,1,0.9196458,0.42531604,0.043323618550902374,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
sonicdrivein_1143,you are going to get your own home delivery! # best-in-homedelivery | first.,1,1,0.7420975,0.42531604,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
