image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
sonicdrivein_1943,"she’ s a drinker, and she’ s a girl.",1,1,0.9438799,0.47601494,0.0327305364789008,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309,0.1594589650630951,0
sonicdrivein_2192,"it’ s fallin for a cheeseburger , and it’ s all for a limited edition tumbler ! 🍔# getawaywithit# somethingscookin# march5 📷:@ sonicwagner 📷:@ sonicwagner 📷:@ sonic",0,1,0.70800304,0.47601494,0.0,0.0,0.0,0.0,0.0003597884497139,0
sonicdrivein_1473,# summertime# summertime# moody# moodycookbook# dinnertime# dinnertime# sonicbreakfast# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrivein# sonicdrive,0,1,0.8639748,0.47601494,0.0,0.0,0.0,0.0,0.0060458113439381,0
sonicdrivein_1570,it’ s a birthday present for me.,0,1,0.97508174,0.47601494,0.0,0.0,0.0,0.0,0.3032595813274383,0
sonicdrivein_999,"when you told your friends you were afraid to eat chips, you probably weren't afraid to tell them.",2,1,0.97692674,0.47601494,0.0182884993226614,7.32478711575271e-309,7.32478711575271e-309,7.32478711575271e-309,0.0713100731372833,0
sonicdrivein_1770,we’ ve got a thing going.,0,1,0.97459817,0.47601494,0.0,0.0,0.0,0.0,0.1753587424755096,0
sonicdrivein_1252,we need to get the app on our calendars so we can get the# skiapp# snowshoes# getawaywithit# somethingscookin# march5 📷:@ nicolerichie 📷:@ jnr.,4,1,0.8029401,0.47601494,0.1304347826086956,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0041962261311709,0
sonicdrivein_2191,and they’ re the same person.,0,1,0.9425633,0.47601494,0.0,0.0,0.0,0.0,0.0535712018609046,0
sonicdrivein_1816,you’ re the one who says you’ re the one who says you’ ll never be afraid to use your sonic weapon.,2,1,0.97785884,0.47601494,0.0909090909090909,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.2614797055721283,0
sonicdrivein_1109,"chases the smell of coke and i’ ve got no need for a good stick of coke 😌# getawaywithit# somethingscookin# march5 📷:@ frankie__sandy

# getawaywithit# somethingscookin# march5 📷",3,1,0.7428531,0.47601494,0.1071428571428571,0.037037037037037,2.225073858507262e-308,2.225073858507262e-308,0.0034286719746887,0
sonicdrivein_1745,the tag@ tahrithebengalley and@ slush# mugshotdrinkremix# icecream# reba# mugshot# reba_popcorn# sonicdrinkremix# sonicdrinkremix_ national# sonicdrinkremix ''# blackoutdrink ''# blackoutdrink,1,1,0.76660526,0.47601494,0.0470267624939229,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,0.0061236922629177,0
sonicdrivein_782,"when the sonic jungle is gone, we’ re going to sonic jungle.",3,1,0.91495544,0.47601494,0.2300111036573308,2.0471667756573244e-308,2.0471667756573244e-308,2.0471667756573244e-308,0.2579898536205292,0
sonicdrivein_968,we’ ve got a new sonic drink coming.,2,1,0.9594424,0.47601494,0.2206242256461488,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,0.1195076331496238,0
sonicdrivein_1623,"a halloween exclusive exclusive, all-new sonic box this halloween, all-new sonic box this halloween.",2,1,0.7534199,0.47601494,0.0375562874589842,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308,0.056524608284235,0
sonicdrivein_1050,we celebrate the 100th anniversary of our bacon-free chili cheese dip with a blast from the folks at apple.,1,1,0.9655327,0.47601494,0.0265520185620379,1.122523845466815e-308,1.122523845466815e-308,1.122523845466815e-308,0.0078295152634382,0
sonicdrivein_1657,it’ s fall and you’ ve got somethin’ coming for your birthday.,0,1,0.9347576,0.47601494,0.0,0.0,0.0,0.0,0.0173856411129236,0
sonicdrivein_743,ad a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's,0,1,0.759905,0.47601494,0.0,0.0,0.0,0.0,0.8655091524124146,1
sonicdrivein_1864,the only way to know if this is a live or a dead person is if they donate a® tumbler.,1,1,0.9083462,0.47601494,0.05,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0035793620627373,0
sonicdrivein_326,happy hour🥤🍔🍔🍔 we’ re cutting corners with this cookie cutter sundae.,0,1,0.94212294,0.47601494,0.0,0.0,0.0,0.0,0.0368522405624389,0
sonicdrivein_1146,it’ s a toss up when’ s the last one sold? 🤩# getawaywithit# somethingscookin# march5 📷:@ tkimchi 📷:@ thewilliamsfamilton 📷:@ sonicwagalot 📷:,1,1,0.8000491,0.47601494,0.0454545454545454,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,0.0076641086488962,0
sonicdrivein_1830,who’ s going to get the scoop on the new sonic drink? 🥤# sonicdrinkdebate.,3,1,0.95605713,0.47601494,0.0525542058816346,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309,0.0119061609730124,0
sonicdrivein_1968,someone is taking a sip of our national beverage.,1,1,0.96242654,0.47601494,0.0889708225463119,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308,0.0091297645121812,0
