image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1550,"i'm not going to tell you this, but i do n’t think it would be a good idea for someone who is pregnant.",3,1,0.9681521,0.31173298,0.07741141275078624,1.3205535166078254e-308,1.3205535166078254e-308,1.3205535166078254e-308
sonicdrivein_1950,10:35 pm - i'm so proud of you for making a difference in your life.,2,1,0.97468877,0.31173298,0.08937600613808525,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_163,"i'm so excited to see you again! </s> this is the first time we have seen each other in over a year and i hope things are going well for both of us<sup style=""font-size:12px; font-weight:bold;"" target=""_blank""><a href='https://www.",2,1,0.9507404,0.31173298,0.054054054054054064,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2226,i'm going to do it for you.,1,1,0.9739831,0.31173298,0.06993452279385044,1.0892663493304385e-308,1.0892663493304385e-308,1.0892663493304385e-308
sonicdrivein_946,♫ `` i love ice cream! ♪ ♪ it’s the best thing in my life.,0,1,0.9539108,0.31173298,0.0,0.0,0.0,0.0
sonicdrivein_710,it's going to be like this.,0,1,0.97058296,0.31173298,0.0,0.0,0.0,0.0
sonicdrivein_2185,"it's like, you know what i love about this show.",1,1,0.91583526,0.31173298,0.033287108369807965,7.4066274658958e-309,7.4066274658958e-309,7.4066274658958e-309
sonicdrivein_414,i'm glad to see you too! let me know what u like and we can try it out together.,2,1,0.9672432,0.31173298,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1822,"i'm not sure if i ca n’t do it, but u know what this is about.",1,1,0.95298517,0.31173298,0.0102028445283724,3.632333222799246e-309,3.632333222799246e-309,3.632333222799246e-309
sonicdrivein_1502,we're going to have a post about how much we love our pets and all the things they do for each other.,2,1,0.9675802,0.31173298,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1796,"it's like, you know what i want to say about it.",1,1,0.8848514,0.31173298,0.01230320756696479,3.01131000863463e-309,3.01131000863463e-309,3.01131000863463e-309
sonicdrivein_2102,"yes, it’s been a long time since i have seen you! </sup><i>&lt;strong&gt;&quot;<small>this isn't what u expected.& quot;</em></u>&#x201c<span style=""font-weight: bold;"" class='icon'><img src="""" alt='' width=36",1,1,0.83254576,0.31173298,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2025,"i'm not sure if you know it, but i think there might be a way to do this.",1,1,0.97681457,0.31173298,0.05255330382815362,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308
sonicdrivein_1160,"i'm not sure if this is the best way to do it, but here’s how you can make your own ice cream at home.",5,1,0.9740382,0.31173298,0.0036600349421441565,0.0007638333792300848,3.9090470740743e-310,3.9090470740743e-310
sonicdrivein_963,"it's like, you ca n’t believe it.",0,1,0.5872469,0.31173298,0.0,0.0,0.0,0.0
sonicdrivein_943,"you know, there's a couple of ways to do it.",1,1,0.97843194,0.31173298,0.060653065971263354,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
sonicdrivein_917,"it's like, oh my god.",0,1,0.92365605,0.31173298,0.0,0.0,0.0,0.0
